name	simplitigs	cum len	kmers	superstr coef	genome frac
11	2093313	23026444	2093314	10.999942674903647	0.22960684370356454
12	7799430	93608189	7814459	11.978827610829653	0.9334085984399819
13	20892324	272594065	21886177	12.455072237564977	2.718155824536968
14	33355505	475629563	42007998	11.322353800564374	4.74271245410432
15	33662075	531868592	60599542	8.77677374401885	5.303496652552124
16	25165744	451171535	73685375	6.122944249870971	4.498830654018584
17	16015372	337920297	81674345	4.1374097435546515	3.369552537836112
18	9497919	247731318	86266695	2.871690739760662	2.470238392541378
19	5516407	188147080	88851754	2.1175388601141236	1.8760976376049232
20	3258200	152235788	90329988	1.6853290844979123	1.5180102833683302
21	2033361	131889636	91222416	1.4458026093493053	1.3151298150583746
22	1375796	120698085	91806369	1.3147024406471053	1.2035339168268686
23	1022799	114729514	92227936	1.243977601672586	1.1440186591200934
24	822665	111481684	92560389	1.204420784125291	1.1116331116518978
25	699889	109635739	92838403	1.1809305967667894	1.0932263787190848
26	619919	108580013	93082038	1.1664977064378128	1.0826992684681147
27	560026	107861017	93300341	1.1560620870869671	1.0755298417778498
28	513390	107360156	93498626	1.1482535047857856	1.0705355355209127
29	475321	106989911	93680923	1.1420668754739691	1.0668436590919241
30	442414	106680036	93850030	1.1367071809725766	1.0637537585978383
31	413113	106400287	94006897	1.1318345402355297	1.0609642577561438
32	388630	106201171	94153641	1.1279556999115234	1.0589787841723426
