name	simplitigs	cum len	kmers	superstr coef	genome frac
11	10972	2203034	2093314	1.052409469341583	0.021967425074911204
12	228216	10324835	7814459	1.321245714680586	0.10295349017460503
13	1630533	41452573	21886177	1.8940059870633486	0.41334191462310027
14	3613645	88985383	42007998	2.1182955555786727	0.8873125579608745
15	4138286	118535546	60599542	1.9560464436406102	1.1819702852832459
16	3355357	124015730	73685375	1.6830436807079394	1.2366156204967411
17	2291527	118338777	81674345	1.4489097380266005	1.1800082146730941
18	1454944	111000743	86266695	1.2867158191910688	1.106837436513451
19	917689	105370156	88851754	1.1859094492791882	1.050692366555262
20	599695	101724193	90329988	1.1261395451901162	1.0143368590921913
21	416107	99544556	91222416	1.0912288726865396	0.9926027358385311
22	314252	98405661	91806369	1.0718824800757334	0.9812463107535387
23	254585	97828806	92227936	1.0607283097387887	0.9754942347567144
24	216992	97551205	92560389	1.0539193040756993	0.9727261525717729
25	192690	97462963	92838403	1.0498127354096596	0.9718462526140509
26	174901	97454563	93082038	1.0469746786768144	0.971762492503844
27	160021	97460887	93300341	1.0445927506373045	0.9718255519010998
28	149481	97534613	93498626	1.043165969460544	0.9725607064112312
29	139789	97595015	93680923	1.04178078849776	0.973163001432268
30	130464	97633486	93850030	1.0403135281992737	0.9735466127655733
31	122760	97689697	94006897	1.039175517353099	0.9741071174744819
32	116454	97763715	94153641	1.0383420308875473	0.9748451836455873
