name	simplitigs	cum len	kmers	superstr coef	genome frac
celegan.1bc11.fa	2093313	23026444	2093314	10.999942674903647	0.22960684370356454
celegan.1bc12.fa	7799430	93608189	7814459	11.978827610829653	0.9334085984399819
celegan.1bc13.fa	20892324	272594065	21886177	12.455072237564977	2.718155824536968
celegan.1bc14.fa	33355505	475629563	42007998	11.322353800564374	4.74271245410432
celegan.1bc15.fa	33662075	531868592	60599542	8.77677374401885	5.303496652552124
celegan.1bc16.fa	25165744	451171535	73685375	6.122944249870971	4.498830654018584
celegan.1bc17.fa	16015372	337920297	81674345	4.1374097435546515	3.369552537836112
celegan.1bc18.fa	9497919	247731318	86266695	2.871690739760662	2.470238392541378
celegan.1bc19.fa	5516407	188147080	88851754	2.1175388601141236	1.8760976376049232
celegan.1bc20.fa	3258200	152235788	90329988	1.6853290844979123	1.5180102833683302
celegan.1bc21.fa	2033361	131889636	91222416	1.4458026093493053	1.3151298150583746
celegan.1bc22.fa	1375796	120698085	91806369	1.3147024406471053	1.2035339168268686
celegan.1bc23.fa	1022799	114729514	92227936	1.243977601672586	1.1440186591200934
celegan.1bc24.fa	822665	111481684	92560389	1.204420784125291	1.1116331116518978
celegan.1bc25.fa	699889	109635739	92838403	1.1809305967667894	1.0932263787190848
celegan.1bc26.fa	619919	108580013	93082038	1.1664977064378128	1.0826992684681147
celegan.1bc27.fa	560026	107861017	93300341	1.1560620870869671	1.0755298417778498
celegan.1bc28.fa	513390	107360156	93498626	1.1482535047857856	1.0705355355209127
celegan.1bc29.fa	475321	106989911	93680923	1.1420668754739691	1.0668436590919241
celegan.1bc30.fa	442414	106680036	93850030	1.1367071809725766	1.0637537585978383
celegan.1bc31.fa	413113	106400287	94006897	1.1318345402355297	1.0609642577561438
celegan.1bc32.fa	388630	106201171	94153641	1.1279556999115234	1.0589787841723426
celegan.4bc11.fa	2093313	23026444	2093314	10.999942674903647	0.22960684370356454
celegan.4bc12.fa	7799430	93608189	7814459	11.978827610829653	0.9334085984399819
celegan.4bc13.fa	20892324	272594065	21886177	12.455072237564977	2.718155824536968
celegan.4bc14.fa	33355505	475629563	42007998	11.322353800564374	4.74271245410432
celegan.4bc15.fa	33662075	531868592	60599542	8.77677374401885	5.303496652552124
celegan.4bc16.fa	25165744	451171535	73685375	6.122944249870971	4.498830654018584
celegan.4bc17.fa	16015372	337920297	81674345	4.1374097435546515	3.369552537836112
celegan.4bc18.fa	9497919	247731318	86266695	2.871690739760662	2.470238392541378
celegan.4bc19.fa	5516407	188147080	88851754	2.1175388601141236	1.8760976376049232
celegan.4bc20.fa	3258200	152235788	90329988	1.6853290844979123	1.5180102833683302
celegan.4bc21.fa	2033361	131889636	91222416	1.4458026093493053	1.3151298150583746
celegan.4bc22.fa	1375796	120698085	91806369	1.3147024406471053	1.2035339168268686
celegan.4bc23.fa	1022799	114729514	92227936	1.243977601672586	1.1440186591200934
celegan.4bc24.fa	822665	111481684	92560389	1.204420784125291	1.1116331116518978
celegan.4bc25.fa	699889	109635739	92838403	1.1809305967667894	1.0932263787190848
celegan.4bc26.fa	619919	108580013	93082038	1.1664977064378128	1.0826992684681147
celegan.4bc27.fa	560026	107861017	93300341	1.1560620870869671	1.0755298417778498
celegan.4bc28.fa	513390	107360156	93498626	1.1482535047857856	1.0705355355209127
celegan.4bc29.fa	475321	106989911	93680923	1.1420668754739691	1.0668436590919241
celegan.4bc30.fa	442414	106680036	93850030	1.1367071809725766	1.0637537585978383
celegan.4bc31.fa	413113	106400287	94006897	1.1318345402355297	1.0609642577561438
celegan.4bc32.fa	388630	106201171	94153641	1.1279556999115234	1.0589787841723426
celegan.pa11.fa	10972	2203034	2093314	1.052409469341583	0.021967425074911204
celegan.pa12.fa	228216	10324835	7814459	1.321245714680586	0.10295349017460503
celegan.pa13.fa	1630533	41452573	21886177	1.8940059870633486	0.41334191462310027
celegan.pa14.fa	3613645	88985383	42007998	2.1182955555786727	0.8873125579608745
celegan.pa15.fa	4138286	118535546	60599542	1.9560464436406102	1.1819702852832459
celegan.pa16.fa	3355357	124015730	73685375	1.6830436807079394	1.2366156204967411
celegan.pa17.fa	2291527	118338777	81674345	1.4489097380266005	1.1800082146730941
celegan.pa18.fa	1454944	111000743	86266695	1.2867158191910688	1.106837436513451
celegan.pa19.fa	917689	105370156	88851754	1.1859094492791882	1.050692366555262
celegan.pa20.fa	599695	101724193	90329988	1.1261395451901162	1.0143368590921913
celegan.pa21.fa	416107	99544556	91222416	1.0912288726865396	0.9926027358385311
celegan.pa22.fa	314252	98405661	91806369	1.0718824800757334	0.9812463107535387
celegan.pa23.fa	254585	97828806	92227936	1.0607283097387887	0.9754942347567144
celegan.pa24.fa	216992	97551205	92560389	1.0539193040756993	0.9727261525717729
celegan.pa25.fa	192690	97462963	92838403	1.0498127354096596	0.9718462526140509
celegan.pa26.fa	174901	97454563	93082038	1.0469746786768144	0.971762492503844
celegan.pa27.fa	160021	97460887	93300341	1.0445927506373045	0.9718255519010998
celegan.pa28.fa	149481	97534613	93498626	1.043165969460544	0.9725607064112312
celegan.pa29.fa	139789	97595015	93680923	1.04178078849776	0.973163001432268
celegan.pa30.fa	130464	97633486	93850030	1.0403135281992737	0.9735466127655733
celegan.pa31.fa	122760	97689697	94006897	1.039175517353099	0.9741071174744819
celegan.pa32.fa	116454	97763715	94153641	1.0383420308875473	0.9748451836455873
