name	simplitigs	cum len	kmers	superstr coef	genome frac
11	1417218	15634349	1462169	10.692500029066208	3.36827254606765
12	2329805	28476077	2848222	9.997804603766616	6.134901323925189
13	1948608	27236046	3852750	7.069226181113705	5.867748379240839
14	958445	16763543	4303758	3.8950824753454585	3.6115467079393286
15	352948	9403501	4462229	2.1073484792289436	2.025895306240106
16	116485	6260605	4513330	1.3871319387283711	1.3487881038905976
17	39477	5161789	4530157	1.13942425598316	1.1120585946555235
18	15831	4805898	4536771	1.0593172967306386	1.0353852464596656
19	8162	4686937	4540021	1.0323561097162381	1.009756224723439
20	5592	4648438	4542190	1.0233870788420347	1.0014619794848902
21	4463	4633151	4543891	1.0196394691709412	0.9981685399939504
22	3855	4626298	4545343	1.017805834692227	0.9966921259930731
23	3501	4623654	4546632	1.016935531052066	0.9961225012129302
24	3221	4621912	4547829	1.016284610844856	0.9957472037972688
25	2949	4619686	4548910	1.0155535340807318	0.9952676331616416
26	2783	4619503	4549928	1.0152858721837346	0.9952282075433488
27	2629	4619234	4550880	1.0150141532257533	0.9951702540388637
28	2494	4619118	4551780	1.0147877535229415	0.9951452629365579
29	2397	4619763	4552647	1.0147359519403427	0.9952842220829997
30	2281	4619626	4553477	1.0145206792304655	0.9952547067294144
31	2169	4619339	4554269	1.0142810122919026	0.9951928752952612
32	2092	4619880	4555028	1.014230551130073	0.9953094286258427
