name	simplitigs	cum len	kmers	superstr coef	genome frac
11	105449	2516659	1462169	1.7211702534368227	0.542190366705647
12	266669	5781581	2848222	2.02988344001351	1.245586916037652
13	245201	6795162	3852750	1.7637118513938832	1.4639533510913787
14	122591	5897441	4303758	1.3702961890862688	1.2705478566682724
15	45975	5105879	4462229	1.1442404638205494	1.100013314225194
16	16005	4753405	4513330	1.0531889319340755	1.024076126344672
17	6295	4630877	4530157	1.0222296146306111	0.9976786282125416
18	3025	4588196	4536771	1.011331364833446	0.9884834106477608
19	1976	4575589	4540021	1.0078303292108284	0.9857673517963002
20	1563	4571887	4542190	1.0065338252819278	0.9849697909278852
21	1311	4570111	4543891	1.005765958004019	0.9845871685339617
22	1191	4570354	4545343	1.0054979095183576	0.9846395205844816
23	1118	4571228	4546632	1.005404853767188	0.9848278156139236
24	1026	4571427	4547829	1.005183765874527	0.9848706882808104
25	962	4571998	4548910	1.0050701988641735	0.9849937048275054
26	916	4572828	4549928	1.0050275244601428	0.9851725204733143
27	879	4573734	4550880	1.0050161440381322	0.9853677095999441
28	846	4574622	4551780	1.0050122951170821	0.9855590207969059
29	806	4575215	4552647	1.0049509354390551	0.9856867770354175
30	752	4575285	4553477	1.0047829079395085	0.9857018578730159
31	714	4575689	4554269	1.0046966613303168	0.9857888958500121
32	700	4576728	4555028	1.0047571282830805	0.9860127385680788
