name	simplitigs	cum len	kmers	superstr coef	genome frac
ecoli.1bc11.fa	1417218	15634349	1462169	10.692500029066208	3.36827254606765
ecoli.1bc12.fa	2329805	28476077	2848222	9.997804603766616	6.134901323925189
ecoli.1bc13.fa	1948608	27236046	3852750	7.069226181113705	5.867748379240839
ecoli.1bc14.fa	958445	16763543	4303758	3.8950824753454585	3.6115467079393286
ecoli.1bc15.fa	352948	9403501	4462229	2.1073484792289436	2.025895306240106
ecoli.1bc16.fa	116485	6260605	4513330	1.3871319387283711	1.3487881038905976
ecoli.1bc17.fa	39477	5161789	4530157	1.13942425598316	1.1120585946555235
ecoli.1bc18.fa	15831	4805898	4536771	1.0593172967306386	1.0353852464596656
ecoli.1bc19.fa	8162	4686937	4540021	1.0323561097162381	1.009756224723439
ecoli.1bc20.fa	5592	4648438	4542190	1.0233870788420347	1.0014619794848902
ecoli.1bc21.fa	4463	4633151	4543891	1.0196394691709412	0.9981685399939504
ecoli.1bc22.fa	3855	4626298	4545343	1.017805834692227	0.9966921259930731
ecoli.1bc23.fa	3501	4623654	4546632	1.016935531052066	0.9961225012129302
ecoli.1bc24.fa	3221	4621912	4547829	1.016284610844856	0.9957472037972688
ecoli.1bc25.fa	2949	4619686	4548910	1.0155535340807318	0.9952676331616416
ecoli.1bc26.fa	2783	4619503	4549928	1.0152858721837346	0.9952282075433488
ecoli.1bc27.fa	2629	4619234	4550880	1.0150141532257533	0.9951702540388637
ecoli.1bc28.fa	2494	4619118	4551780	1.0147877535229415	0.9951452629365579
ecoli.1bc29.fa	2397	4619763	4552647	1.0147359519403427	0.9952842220829997
ecoli.1bc30.fa	2281	4619626	4553477	1.0145206792304655	0.9952547067294144
ecoli.1bc31.fa	2169	4619339	4554269	1.0142810122919026	0.9951928752952612
ecoli.1bc32.fa	2092	4619880	4555028	1.014230551130073	0.9953094286258427
ecoli.4bc11.fa	1417218	15634349	1462169	10.692500029066208	3.36827254606765
ecoli.4bc12.fa	2329805	28476077	2848222	9.997804603766616	6.134901323925189
ecoli.4bc13.fa	1948608	27236046	3852750	7.069226181113705	5.867748379240839
ecoli.4bc14.fa	958445	16763543	4303758	3.8950824753454585	3.6115467079393286
ecoli.4bc15.fa	352948	9403501	4462229	2.1073484792289436	2.025895306240106
ecoli.4bc16.fa	116485	6260605	4513330	1.3871319387283711	1.3487881038905976
ecoli.4bc17.fa	39477	5161789	4530157	1.13942425598316	1.1120585946555235
ecoli.4bc18.fa	15831	4805898	4536771	1.0593172967306386	1.0353852464596656
ecoli.4bc19.fa	8162	4686937	4540021	1.0323561097162381	1.009756224723439
ecoli.4bc20.fa	5592	4648438	4542190	1.0233870788420347	1.0014619794848902
ecoli.4bc21.fa	4463	4633151	4543891	1.0196394691709412	0.9981685399939504
ecoli.4bc22.fa	3855	4626298	4545343	1.017805834692227	0.9966921259930731
ecoli.4bc23.fa	3501	4623654	4546632	1.016935531052066	0.9961225012129302
ecoli.4bc24.fa	3221	4621912	4547829	1.016284610844856	0.9957472037972688
ecoli.4bc25.fa	2949	4619686	4548910	1.0155535340807318	0.9952676331616416
ecoli.4bc26.fa	2783	4619503	4549928	1.0152858721837346	0.9952282075433488
ecoli.4bc27.fa	2629	4619234	4550880	1.0150141532257533	0.9951702540388637
ecoli.4bc28.fa	2494	4619118	4551780	1.0147877535229415	0.9951452629365579
ecoli.4bc29.fa	2397	4619763	4552647	1.0147359519403427	0.9952842220829997
ecoli.4bc30.fa	2281	4619626	4553477	1.0145206792304655	0.9952547067294144
ecoli.4bc31.fa	2169	4619339	4554269	1.0142810122919026	0.9951928752952612
ecoli.4bc32.fa	2092	4619880	4555028	1.014230551130073	0.9953094286258427
ecoli.pa11.fa	105449	2516659	1462169	1.7211702534368227	0.542190366705647
ecoli.pa12.fa	266669	5781581	2848222	2.02988344001351	1.245586916037652
ecoli.pa13.fa	245201	6795162	3852750	1.7637118513938832	1.4639533510913787
ecoli.pa14.fa	122591	5897441	4303758	1.3702961890862688	1.2705478566682724
ecoli.pa15.fa	45975	5105879	4462229	1.1442404638205494	1.100013314225194
ecoli.pa16.fa	16005	4753405	4513330	1.0531889319340755	1.024076126344672
ecoli.pa17.fa	6295	4630877	4530157	1.0222296146306111	0.9976786282125416
ecoli.pa18.fa	3025	4588196	4536771	1.011331364833446	0.9884834106477608
ecoli.pa19.fa	1976	4575589	4540021	1.0078303292108284	0.9857673517963002
ecoli.pa20.fa	1563	4571887	4542190	1.0065338252819278	0.9849697909278852
ecoli.pa21.fa	1311	4570111	4543891	1.005765958004019	0.9845871685339617
ecoli.pa22.fa	1191	4570354	4545343	1.0054979095183576	0.9846395205844816
ecoli.pa23.fa	1118	4571228	4546632	1.005404853767188	0.9848278156139236
ecoli.pa24.fa	1026	4571427	4547829	1.005183765874527	0.9848706882808104
ecoli.pa25.fa	962	4571998	4548910	1.0050701988641735	0.9849937048275054
ecoli.pa26.fa	916	4572828	4549928	1.0050275244601428	0.9851725204733143
ecoli.pa27.fa	879	4573734	4550880	1.0050161440381322	0.9853677095999441
ecoli.pa28.fa	846	4574622	4551780	1.0050122951170821	0.9855590207969059
ecoli.pa29.fa	806	4575215	4552647	1.0049509354390551	0.9856867770354175
ecoli.pa30.fa	752	4575285	4553477	1.0047829079395085	0.9857018578730159
ecoli.pa31.fa	714	4575689	4554269	1.0046966613303168	0.9857888958500121
ecoli.pa32.fa	700	4576728	4555028	1.0047571282830805	0.9860127385680788
