name	simplitigs	cum len	kmers	superstr coef	genome frac
11	905228	10056493	1004213	10.014203020643821	4.5272701080216
12	1051093	13147899	1585876	8.290564838478403	5.918970969898461
13	675054	10018608	1917960	5.223542366624748	4.510214895230978
14	292122	5849671	2052085	2.850580722753007	2.633427046591771
15	104406	3559835	2098151	1.6966420658051202	1.6025800032863418
16	37174	2671680	2114070	1.263752403522091	1.2027470214715157
17	15621	2370385	2120449	1.1178609408785338	1.0671088972072849
18	8749	2272639	2123906	1.0700194875237945	1.0231052327112544
19	6542	2244116	2126360	1.0553702116933112	1.0102646405395002
20	5712	2236999	2128471	1.0509793327664212	1.0070606825236403
21	5186	2234115	2130395	1.0486759621951591	1.0057623524804
22	4944	2236022	2132198	1.0486830855554705	1.0066208529632223
23	4735	2238076	2133906	1.0488057703915035	1.0075455304628114
24	4454	2237999	2135557	1.047958400059937	1.0075108663111716
25	4297	2240227	2137099	1.0482442985265705	1.0085138757897911
26	4191	2243374	2138599	1.048980091872157	1.009930604169152
27	3966	2243156	2140040	1.048171411535906	1.0098324641034702
28	3832	2244875	2141411	1.0483025891947373	1.0106063300342365
29	3714	2246726	2142734	1.0485186875630612	1.011439620224957
30	3536	2246564	2144020	1.0478137393315172	1.0113666904513767
31	3353	2245805	2145215	1.0468757647727882	1.0110250009566406
32	3280	2248058	2146378	1.0473577030286398	1.0120392650299486
