name	simplitigs	cum len	kmers	superstr coef	genome frac
yeast.1bc11.fa	1855608	20421611	1865531	10.946750031224186	1.6798087209084729
yeast.1bc12.fa	4444185	53660911	4774876	11.238153070428682	4.413954720305533
yeast.1bc13.fa	5744811	76981367	8043635	9.57045566519764	6.332212068580472
yeast.1bc14.fa	4057323	62841068	10095869	6.224425760919155	5.169081619349344
yeast.1bc15.fa	1871286	37174118	10976114	3.3868152776644003	3.0578100625107703
yeast.1bc16.fa	702192	21827666	11294786	1.9325409982876192	1.7954657790649995
yeast.1bc17.fa	259199	15556709	11409525	1.3634824573573994	1.2796392726722357
yeast.1bc18.fa	108345	13298516	11456651	1.1607664636873478	1.0938883887241246
yeast.1bc19.fa	55489	12478531	11479729	1.0870040080151593	1.026439353777071
yeast.1bc20.fa	36449	12186889	11494358	1.0602478933829993	1.002449925372858
yeast.1bc21.fa	27691	12059048	11505228	1.0481345556393047	0.9919341816986856
yeast.1bc22.fa	23014	11997307	11514013	1.0419725180592658	0.9868555877406668
yeast.1bc23.fa	20422	11970885	11521601	1.0389929439628427	0.9846822084698619
yeast.1bc24.fa	18475	11953445	11528520	1.0368565221121178	0.983247656411621
yeast.1bc25.fa	16916	11940665	11534681	1.035194658207557	0.9821964192955478
yeast.1bc26.fa	15881	11937466	11540441	1.0344006905786993	0.981933280990828
yeast.1bc27.fa	14805	11930765	11545835	1.0333369681135083	0.981382080684505
yeast.1bc28.fa	13802	11923424	11550770	1.0322598518526471	0.9807782362659532
yeast.1bc29.fa	13209	11925308	11555456	1.0320041981798427	0.9809332073713273
yeast.1bc30.fa	12542	11923650	11559932	1.0314610922995329	0.980796826218084
yeast.1bc31.fa	11843	11919386	11564096	1.0307208690047134	0.9804460848203581
yeast.1bc32.fa	11447	11922976	11568119	1.0306726658973129	0.9807413853873928
yeast.4bc11.fa	1855608	20421611	1865531	10.946750031224186	1.6798087209084729
yeast.4bc12.fa	4444185	53660911	4774876	11.238153070428682	4.413954720305533
yeast.4bc13.fa	5744811	76981367	8043635	9.57045566519764	6.332212068580472
yeast.4bc14.fa	4057323	62841068	10095869	6.224425760919155	5.169081619349344
yeast.4bc15.fa	1871286	37174118	10976114	3.3868152776644003	3.0578100625107703
yeast.4bc16.fa	702192	21827666	11294786	1.9325409982876192	1.7954657790649995
yeast.4bc17.fa	259199	15556709	11409525	1.3634824573573994	1.2796392726722357
yeast.4bc18.fa	108345	13298516	11456651	1.1607664636873478	1.0938883887241246
yeast.4bc19.fa	55489	12478531	11479729	1.0870040080151593	1.026439353777071
yeast.4bc20.fa	36449	12186889	11494358	1.0602478933829993	1.002449925372858
yeast.4bc21.fa	27691	12059048	11505228	1.0481345556393047	0.9919341816986856
yeast.4bc22.fa	23014	11997307	11514013	1.0419725180592658	0.9868555877406668
yeast.4bc23.fa	20422	11970885	11521601	1.0389929439628427	0.9846822084698619
yeast.4bc24.fa	18475	11953445	11528520	1.0368565221121178	0.983247656411621
yeast.4bc25.fa	16916	11940665	11534681	1.035194658207557	0.9821964192955478
yeast.4bc26.fa	15881	11937466	11540441	1.0344006905786993	0.981933280990828
yeast.4bc27.fa	14805	11930765	11545835	1.0333369681135083	0.981382080684505
yeast.4bc28.fa	13802	11923424	11550770	1.0322598518526471	0.9807782362659532
yeast.4bc29.fa	13209	11925308	11555456	1.0320041981798427	0.9809332073713273
yeast.4bc30.fa	12542	11923650	11559932	1.0314610922995329	0.980796826218084
yeast.4bc31.fa	11843	11919386	11564096	1.0307208690047134	0.9804460848203581
yeast.4bc32.fa	11447	11922976	11568119	1.0306726658973129	0.9807413853873928
yeast.pa11.fa	71922	2584751	1865531	1.3855235559014785	0.21261237770011857
yeast.pa12.fa	396098	9131954	4774876	1.912496358552569	0.7511618925722859
yeast.pa13.fa	667417	16052639	8043635	1.9956916309231372	1.3204327016999524
yeast.pa14.fa	502970	16634479	10095869	1.6476499031981555	1.3682927802301617
yeast.pa15.fa	236592	14288402	10976114	1.30177071550186	1.1753128725959017
yeast.pa16.fa	93184	12692546	11294786	1.1237511842838135	1.0440434626500306
yeast.pa17.fa	38432	12024437	11409525	1.0538931408371293	0.9890872045606253
yeast.pa18.fa	18426	11769893	11456651	1.0273399735420456	0.9681493250243376
yeast.pa19.fa	11794	11692021	11479729	1.018491174065073	0.9617438526688714
yeast.pa20.fa	9049	11666289	11494358	1.0149561824881854	0.9596272303315633
yeast.pa21.fa	7257	11650368	11505228	1.0126133743488188	0.958317625783441
yeast.pa22.fa	6528	11651101	11514013	1.0119043421271814	0.9583779197432284
yeast.pa23.fa	6054	11654789	11521601	1.0115579202686982	0.9586812814399481
yeast.pa24.fa	5401	11652743	11528520	1.0107732607667768	0.958512984793666
yeast.pa25.fa	5185	11659121	11534681	1.01078623163748	0.9590376162745983
yeast.pa26.fa	4920	11663441	11540441	1.0106559821761096	0.9593929640321441
yeast.pa27.fa	4492	11662627	11545835	1.010113234517547	0.9593260073019029
yeast.pa28.fa	4370	11668760	11550770	1.0102125420436356	0.9598304859586225
yeast.pa29.fa	4195	11672916	11555456	1.0101624475443867	0.9601723436624098
yeast.pa30.fa	3930	11673902	11559932	1.0098565211422426	0.9602534484978126
yeast.pa31.fa	3815	11678546	11564096	1.0098943923648014	0.9606354473371744
yeast.pa32.fa	3699	11682788	11568119	1.0099097954296927	0.9609843790935424
