experiment	k	version	time
bombyx	18	2.2.2	9022.4657
bombyx	18	2.2.3	2853.8515
bombyx	31	2.2.2	8720.1640
bombyx	31	2.2.3	1926.0274
celegan	18	2.2.2	2967.3342
celegan	18	2.2.3	806.5233
celegan	31	2.2.2	2658.8297
celegan	31	2.2.3	514.9167
ecoli	18	2.2.2	117.5605
ecoli	18	2.2.3	39.0507
ecoli	31	2.2.2	112.2901
ecoli	31	2.2.3	32.9364
hg38	18	2.2.2	92798.8415
hg38	18	2.2.3	31825.9084
hg38	31	2.2.2	75434.4538
hg38	31	2.2.3	18414.1019
yeast	18	2.2.2	259.9880
yeast	18	2.2.3	80.6226
yeast	31	2.2.2	250.4148
yeast	31	2.2.3	65.9380
