name	simplitigs	cum len	kmers
absiella_argi.bc19.fsa	12561	2999461	2773363
absiella_argi.bc23.fsa	6955	2937572	2784562
absiella_argi.bc27.fsa	5659	2940076	2792942
absiella_argi.bc31.fsa	4677	2940177	2799867
absiella_argi.pa19.fsa	3326	2833231	2773363
absiella_argi.pa23.fsa	2263	2834348	2784562
absiella_argi.pa27.fsa	1778	2839170	2792942
absiella_argi.pa31.fsa	1543	2846157	2799867
absiella_sp.bc19.fsa	5514	2468154	2368902
absiella_sp.bc23.fsa	1867	2413433	2372359
absiella_sp.bc27.fsa	1540	2414667	2374627
absiella_sp.bc31.fsa	1385	2418141	2376591
absiella_sp.pa19.fsa	1208	2390646	2368902
absiella_sp.pa23.fsa	609	2385757	2372359
absiella_sp.pa27.fsa	500	2387627	2374627
absiella_sp.pa31.fsa	465	2390541	2376591
acaryochloris_marina.bc19.fsa	34271	8423082	7806204
acaryochloris_marina.bc23.fsa	21173	8306107	7840301
acaryochloris_marina.bc27.fsa	16323	8289548	7865150
acaryochloris_marina.bc31.fsa	12967	8273669	7884659
acaryochloris_marina.pa19.fsa	9843	7983378	7806204
acaryochloris_marina.pa23.fsa	6826	7990473	7840301
acaryochloris_marina.pa27.fsa	5133	7998608	7865150
acaryochloris_marina.pa31.fsa	4247	8012069	7884659
acetobacter_ascendens.bc19.fsa	69890	5434535	4176515
acetobacter_ascendens.bc23.fsa	62217	5632644	4263870
acetobacter_ascendens.bc27.fsa	57918	5850047	4344179
acetobacter_ascendens.bc31.fsa	54357	6049991	4419281
acetobacter_ascendens.pa19.fsa	22631	4583873	4176515
acetobacter_ascendens.pa23.fsa	20616	4717422	4263870
acetobacter_ascendens.pa27.fsa	18952	4836931	4344179
acetobacter_ascendens.pa31.fsa	18091	4962011	4419281
acetobacter_oryzifermentans.bc19.fsa	66065	5167505	3978335
acetobacter_oryzifermentans.bc23.fsa	59177	5362445	4060551
acetobacter_oryzifermentans.bc27.fsa	55102	5569137	4136485
acetobacter_oryzifermentans.bc31.fsa	51493	5752101	4207311
acetobacter_oryzifermentans.pa19.fsa	21366	4362923	3978335
