species	genomes
achromobacter_xylosoxidans	7
acidovorax_carolinensis	4
acidovorax_sp	6
acinetobacter_indicus	14
acinetobacter_johnsonii	5
acinetobacter_nosocomialis	9
acinetobacter_pittii	16
acinetobacter_radioresistens	4
acinetobacter_schindleri	6
acinetobacter_sp	20
actinobacillus_pleuropneumoniae	6
actinobacteria_bacterium	5
actinomyces_sp	9
actinoplanes_sp	4
aeromonas_caviae	5
aeromonas_hydrophila	25
aeromonas_salmonicida	14
aeromonas_sp	8
aeromonas_veronii	12
aggregatibacter_actinomycetemcomitans	10
agrobacterium_sp	4
akkermansia_muciniphila	26
alteromonas_mediterranea	15
alteromonas_sp	6
alteromonas_stellipolaris	4
amycolatopsis_mediterranei	4
anaplasma_phagocytophilum	4
arthrobacter_sp	18
avibacterium_paragallinarum	9
azoarcus_sp	7
azospirillum_brasilense	7
azospirillum_sp	6
bacillaceae_bacterium	4
bacillus_altitudinis	11
bacillus_amyloliquefaciens	35
bacillus_anthracis	59
bacillus_cereus	59
bacillus_coagulans	9
bacillus_cytotoxicus	11
bacillus_licheniformis	28
bacillus_megaterium	6
bacillus_paralicheniformis	9
bacillus_paranthracis	4
bacillus_safensis	6
bacillus_sp	54
bacillus_velezensis	116
bacteroides_fragilis	14
bartonella_sp	6
bdellovibrio_bacteriovorus	5
bibersteinia_trehalosi	4
bifidobacterium_longum	27
blattabacterium_punctulatus	10
blattabacterium_sp	8
bordetella_genomosp	5
bordetella_hinzii	11
bordetella_holmesii	63
borrelia_miyamotoi	11
borreliella_afzelii	4
borreliella_burgdorferi	10
borreliella_garinii	5
bosea_sp	6
brachybacterium_sp	4
bradyrhizobium_diazoefficiens	7
bradyrhizobium_sp	16
bradyrhizobium_symbiodeficiens	4
brevibacillus_brevis	4
brevibacterium_aurantiacum	6
brevibacterium_sp	5
brevundimonas_sp	8
brucella_abortus	4
brucella_canis	8
brucella_melitensis	4
brucella_sp	6
brucella_suis	16
buchnera_aphidicola	29
burkholderia_cenocepacia	18
burkholderia_contaminans	5
