species	genomes
absiella_argi	1
absiella_sp	1
acaryochloris_marina	1
acetobacter_ascendens	3
acetobacter_oryzifermentans	2
acetobacter_oryzoeni	1
acetobacter_persici	1
acetobacter_pomorum	2
acetobacter_sp	2
acetobacter_tropicalis	1
acetobacteraceae_bacterium	2
acetobacterium_woodii	1
acetomicrobium_mobile	1
acholeplasma_brassicae	1
acholeplasma_palmae	1
achromobacter_denitrificans	3
achromobacter_insolitus	3
achromobacter_sp	2
achromobacter_spanius	3
achromobacter_xylosoxidans	7
acidaminococcus_fermentans	1
acidaminococcus_intestini	1
acidibrevibacterium_fodinaquatile	1
acidiferrobacter_sp	1
acidihalobacter_prosperus	1
acidimicrobium_ferrooxidans	1
acidiphilium_multivorum	1
acidipropionibacterium_virtanenii	1
acidisarcina_polymorpha	1
acidithiobacillus_caldus	3
acidithiobacillus_ferridurans	1
acidithiobacillus_ferrivorans	1
acidithiobacillus_ferrooxidans	2
acidithiobacillus_sp	1
acidithiobacillus_thiooxidans	1
acidobacterium_capsulatum	1
acidovorax_avenae	1
acidovorax_carolinensis	4
acidovorax_citrulli	3
acidovorax_ebreus	1
acidovorax_sp	6
acinetobacter_baylyi	1
acinetobacter_bereziniae	1
acinetobacter_chinensis	1
acinetobacter_cumulans	1
acinetobacter_defluvii	1
acinetobacter_dispersus	1
acinetobacter_equi	1
acinetobacter_guillouiae	1
acinetobacter_gyllenbergii	1
acinetobacter_indicus	14
acinetobacter_johnsonii	5
acinetobacter_junii	3
acinetobacter_lactucae	1
acinetobacter_larvae	1
acinetobacter_nosocomialis	9
acinetobacter_oleivorans	1
acinetobacter_pittii	16
acinetobacter_radioresistens	4
acinetobacter_schindleri	6
acinetobacter_soli	1
acinetobacter_sp	20
acinetobacter_tandoii	1
acinetobacter_towneri	2
acinetobacter_ursingii	1
acinetobacter_wuhouensis	2
actinoalloteichus_fjordicus	1
actinoalloteichus_hoggarensis	1
actinoalloteichus_hymeniacidonis	1
actinoalloteichus_sp	1
actinobacillus_equuli	1
actinobacillus_indolicus	1
actinobacillus_pleuropneumoniae	6
actinobacillus_porcitonsillarum	1
actinobacillus_succinogenes	1
actinobacillus_suis	1
actinobacteria_bacterium	5
actinobaculum_sp	1
actinomadura_amylolytica	1
actinomadura_sp	1
actinomyces_gaoshouyii	1
actinomyces_oris	1
actinomyces_qiguomingii	1
actinomyces_radicidentis	1
actinomyces_sp	9
actinomyces_tangfeifanii	1
actinoplanes_friuliensis	1
actinoplanes_sp	4
actinopolyspora_erythraea	1
actinosynnema_mirum	1
actinosynnema_pretiosum	2
actinotignum_schaalii	1
adlercreutzia_equolifaciens	1
adlercreutzia_sp	1
advenella_kashmirensis	1
advenella_mimigardefordensis	1
aequorivita_sp	1
aequorivita_sublithincola	1
aeribacillus_pallidus	2
aerococcus_christensenii	1
aerococcus_sanguinicola	1
aerococcus_urinae	2
aerococcus_urinaeequi	2
aerococcus_urinaehominis	1
aerococcus_viridans	1
aeromicrobium_sp	3
aeromonas_caviae	5
aeromonas_dhakensis	1
aeromonas_hydrophila	25
aeromonas_media	2
aeromonas_rivipollensis	1
aeromonas_salmonicida	14
aeromonas_schubertii	2
aeromonas_sp	8
aeromonas_veronii	12
aerosticca_soli	1
agarilytica_rhodophyticola	1
agarivorans_gilvus	1
aggregatibacter_actinomycetemcomitans	10
aggregatibacter_aphrophilus	3
agrobacterium_fabrum	3
agrobacterium_larrymoorei	1
agrobacterium_sp	4
agrococcus_sp	1
agromyces_aureus	1
agromyces_protaetiae	1
agromyces_sp	3
ahniella_affigens	1
akkermansia_muciniphila	26
alcaligenaceae_bacterium	1
alcaligenes_aquatilis	1
alcanivorax_borkumensis	1
alcanivorax_dieselolei	1
alcanivorax_pacificus	1
alcanivorax_sp	1
alcanivorax_xenomutans	1
algibacter_alginicilyticus	1
algibacter_sp	2
algoriphagus_sanaruensis	1
alicycliphilus_denitrificans	3
alicyclobacillus_acidocaldarius	2
aliivibrio_fischeri	1
aliivibrio_salmonicida	2
alistipes_finegoldii	1
alistipes_sp	1
alkalilimnicola_ehrlichii	1
alkaliphilus_metalliredigens	1
alkaliphilus_oremlandii	1
alkalitalea_saponilacus	1
allochromatium_vinosum	1
allofrancisella_guangzhouensis	1
alloprevotella_sp	1
allopseudarcicella_aquatilis	1
alpha_proteobacterium	2
altererythrobacter_atlanticus	1
altererythrobacter_dongtanensis	1
altererythrobacter_epoxidivorans	1
altererythrobacter_ishigakiensis	1
altererythrobacter_mangrovi	1
altererythrobacter_marensis	1
altererythrobacter_namhicola	1
altererythrobacter_sp	2
alteromonas_addita	1
alteromonas_australica	2
alteromonas_mediterranea	15
alteromonas_naphthalenivorans	1
alteromonas_sp	6
alteromonas_stellipolaris	4
aminipila_butyrica	1
aminipila_sp	2
aminobacter_aminovorans	1
aminobacter_sp	2
aminobacterium_colombiense	1
ammonifex_degensii	1
amycolatopsis_albispora	1
amycolatopsis_japonica	1
amycolatopsis_keratiniphila	1
amycolatopsis_mediterranei	4
amycolatopsis_orientalis	1
amycolatopsis_sp	3
anabaena_cylindrica	1
anabaena_sp	3
anaerococcus_prevotii	1
anaerocolumna_sp	1
anaerohalosphaera_lusitana	1
anaerolinea_thermophila	1
anaerolineaceae_bacterium	1
anaeromyxobacter_dehalogenans	2
anaeromyxobacter_sp	2
anaerostipes_hadrus	1
anaerostipes_rhamnosivorans	1
anaplasma_centrale	1
anaplasma_marginale	2
anaplasma_ovis	1
anaplasma_phagocytophilum	4
ancylobacter_pratisalsi	1
