name	simplitigs	cum len	kmers	superstr coef	genome frac
1	17754	2383218	2081400	1.1449978548267838	1.1407738363065094
2	23000	2519883	2128883	1.1836549391704636	1.2061912074151655
3	23327	2527482	2130923	1.186087829784039	1.2098286171620258
4	23892	2540401	2134237	1.1902992802168815	1.2160125488003584
5	24085	2544703	2135258	1.191744857219796	1.2180717851118459
6	26146	2593725	2149243	1.206799084336004	1.2415371227366112
7	26187	2594583	2149404	1.207107867653661	1.2419478211920403
8	36810	2892049	2266279	1.2761126525396507	1.384335731148558
9	42316	3028330	2308958	1.3115473316081812	1.4495692931582806
10	44840	3090424	2328144	1.3274099170976577	1.4792917988592347
15	53711	3300169	2387082	1.3825019406400825	1.5796903391086408
20	55966	3353392	2401970	1.3960908198087667	1.6051665674225177
25	61108	3484430	2445594	1.4247686978836782	1.6678904650944606
30	61875	3502652	2450777	1.429190703094589	1.6766127812422815
35	64283	3563429	2470618	1.442313008599004	1.7057048791742375
40	64864	3576605	2473917	1.4457156092280554	1.7120118288813877
45	65657	3594925	2478756	1.450284071998525	1.7207810546429987
50	69872	3693373	2505549	1.4740673364820565	1.767905112382032
55	70125	3698964	2506839	1.4755390816225582	1.77058135371572
60	70811	3714414	2510627	1.479466622906314	1.7779767979306158
65	71888	3738970	2516874	1.4855510230677451	1.7897310068717798
70	76832	3856058	2549914	1.512220526751508	1.8457774646215352
75	78184	3886531	2557403	1.5197077523441593	1.8603639611626692
80	79342	3912588	2563774	1.526094755773774	1.8728366530660698
85	80278	3936021	2571295	1.5307442270716272	1.8840533161267594
90	81011	3952839	2575652	1.534684386852503	1.892103580256605
95	81451	3962973	2578306	1.5370351193391985	1.8969544172581427
100	81877	3972647	2580738	1.539335194545782	1.901585066276583
120	84762	4041505	2600551	1.5540854920924967	1.934545292668123
140	85700	4062282	2605382	1.5591784598059644	1.9444906094611905
150	87221	4096062	2613305	1.5673774605655177	1.960660066132982
160	90908	4183661	2638225	1.5857760584510443	2.00259103815762
180	92206	4215909	2648407	1.5918557602559107	2.0180271731117925
200	95618	4296401	2670895	1.6085895005151798	2.0565562407975784
220	96198	4309190	2673824	1.611610413633421	2.0626779453972097
240	97082	4329244	2678850	1.6160727650906148	2.0722771841211913
250	103874	4486197	2720339	1.649121291478027	2.147405802623492
260	109316	4640486	2782114	1.6679609982419952	2.2212592455019426
280	114162	4755190	2814436	1.689560991070023	2.27616455509582
300	118448	4852294	2838678	1.7093396789722037	2.3226452809885867
320	124982	4998832	2874138	1.7392353578704	2.392788556351849
340	127753	5063558	2891757	1.751021345374846	2.4237709202517417
350	130499	5125576	2907093	1.7631173227019274	2.453457047068532
360	132871	5180909	2922102	1.772997266709535	2.4799432680874856
380	137791	5292358	2949911	1.7940634483282303	2.533290508366186
400	139249	5326288	2959055	1.7999859415384283	2.5495317654672487
420	140158	5347853	2965167	1.8035484475836914	2.5598542738487517
440	145356	5477436	3006384	1.8219246201687667	2.6218817073567675
450	146714	5507357	3013219	1.827721758269183	2.636203978318185
460	148742	5561736	3033122	1.8336568155959883	2.662233548606976
480	152011	5637542	3053355	1.8463331687065971	2.698519570882341
500	154364	5689941	3065753	1.8559582095199574	2.723601375504757
520	157098	5752813	3082147	1.8664850410296143	2.7536962860988625
540	158887	5792816	3091737	1.873634189524781	2.7728445032463367
550	160280	5827107	3102347	1.8782795958178988	2.7892585600471778
560	161451	5854405	3109738	1.8825936448369727	2.8023252808354124
580	163170	5894699	3120809	1.8888265478434234	2.821612790815672
600	166201	5967180	3141763	1.8992991234268473	2.856307236908867
650	168818	6026783	3156877	1.9090862727731752	2.8848373768143967
700	172005	6101148	3177063	1.9203633525123698	2.9204336362992334
750	174223	6151283	3189492	1.9285987278919734	2.9444317331091883
800	179179	6276079	3230036	1.9430266314515583	3.0041677755844076
850	183429	6373130	3254837	1.9580386708589694	3.050623131992165
900	185549	6426718	3272385	1.9639145801768854	3.0762740746839343
950	188516	6496177	3291405	1.9736688276374164	3.1095219814620867
1000	189977	6530876	3301267	1.978283601168515	3.1261313354305442
1050	195525	6662938	3339013	1.9954711398220442	3.1893453906996427
1100	198761	6737713	3358776	2.005992331173728	3.225137904691153
1102	198982	6742797	3360103	2.006713153101675	3.2275714605739054
