name	simplitigs	cum len	kmers	superstr coef	genome frac
ngonorrhoeae.1000genomes.bc31.fa	172935	9268570	4080520	2.2714021394174804	4.436582031511772
ngonorrhoeae.100genomes.bc31.fa	63457	4780777	2877067	1.661666951096887	2.288412272320839
ngonorrhoeae.1050genomes.bc31.fa	178315	9491988	4142538	2.2913294362337564	4.543525420223979
ngonorrhoeae.10genomes.bc31.fa	26485	3256737	2462187	1.3226847999181226	1.5589007641480352
ngonorrhoeae.1100genomes.bc31.fa	181519	9622416	4176846	2.3037351360203178	4.605957329483554
ngonorrhoeae.1102genomes.bc31.fa	181757	9631953	4179243	2.3046958167126195	4.610522400776594
ngonorrhoeae.120genomes.bc31.fa	66130	4892743	2908843	1.6820063990418281	2.3420069847457596
ngonorrhoeae.140genomes.bc31.fa	67269	4936315	2918245	1.6915181057302688	2.362863573440351
ngonorrhoeae.150genomes.bc31.fa	68919	5000744	2933174	1.7048742603651161	2.3937037724902877
ngonorrhoeae.15genomes.bc31.fa	35249	3617202	2559732	1.4131009054748058	1.7314443757287743
ngonorrhoeae.160genomes.bc31.fa	72309	5142848	2973578	1.729497633850864	2.4617246271643043
ngonorrhoeae.180genomes.bc31.fa	73667	5199542	2989532	1.7392320346592578	2.4888623174115083
ngonorrhoeae.1genomes.bc31.fa	2907	2193798	2106588	1.041383867412127	1.0501042542233012
ngonorrhoeae.200genomes.bc31.fa	77406	5349970	3027790	1.7669379289389726	2.5608676172405276
ngonorrhoeae.20genomes.bc31.fa	37415	3706589	2584139	1.4343446577990835	1.7742312088703207
ngonorrhoeae.220genomes.bc31.fa	78114	5377004	3033584	1.7724746787165406	2.5738079692732456
ngonorrhoeae.240genomes.bc31.fa	79015	5412956	3042506	1.779093493059737	2.5910170961608787
ngonorrhoeae.250genomes.bc31.fa	86042	5695672	3114412	1.8287937293422063	2.7263446305724313
ngonorrhoeae.25genomes.bc31.fa	42501	3925223	2650193	1.4810915911604419	1.8788846425583163
ngonorrhoeae.260genomes.bc31.fa	91684	5951075	3200555	1.8593710212351804	2.848598264152822
ngonorrhoeae.280genomes.bc31.fa	96355	6144396	3253746	1.8883893666927287	2.9411351360666003
ngonorrhoeae.2genomes.bc31.fa	7177	2389829	2174519	1.0989998385872197	1.1439383205592393
ngonorrhoeae.300genomes.bc31.fa	100768	6320482	3297442	1.9167659346311356	3.02542213865716
ngonorrhoeae.30genomes.bc31.fa	43122	3952022	2658362	1.4866212356943596	1.8917125072518433
ngonorrhoeae.320genomes.bc31.fa	107848	6598758	3363318	1.9619611173152467	3.1586243803622955
ngonorrhoeae.340genomes.bc31.fa	110524	6708793	3393073	1.9771851900752793	3.2112947819277364
ngonorrhoeae.350genomes.bc31.fa	113449	6824365	3420895	1.9948888093132706	3.266615576672328
ngonorrhoeae.35genomes.bc31.fa	45526	4054553	2688773	1.5079397784069715	1.9407909726756287
ngonorrhoeae.360genomes.bc31.fa	115783	6919927	3446437	2.0078320784734047	3.31235819415219
ngonorrhoeae.380genomes.bc31.fa	120990	7126415	3496715	2.038013924378243	3.411197707747362
ngonorrhoeae.3genomes.bc31.fa	7491	2402696	2177966	1.1031682335504749	1.1500973613820913
ngonorrhoeae.400genomes.bc31.fa	122485	7186985	3512435	2.0461371145335256	3.4401907210869243
ngonorrhoeae.40genomes.bc31.fa	46152	4079292	2694732	1.5137856330169417	1.9526327781405028
ngonorrhoeae.420genomes.bc31.fa	123423	7225394	3522704	2.0510756702038813	3.458575939006014
ngonorrhoeae.440genomes.bc31.fa	128950	7456181	3587681	2.0782557457944635	3.5690466434735324
ngonorrhoeae.450genomes.bc31.fa	130426	7513608	3600828	2.0866160231811417	3.596535198485107
ngonorrhoeae.45genomes.bc31.fa	46904	4110036	2702916	1.5205764377090774	1.967348994123853
ngonorrhoeae.460genomes.bc31.fa	132320	7598731	3629131	2.093798263565601	3.6372809847572474
ngonorrhoeae.480genomes.bc31.fa	135489	7728457	3663787	2.1094003876285305	3.699376868007835
ngonorrhoeae.4genomes.bc31.fa	8135	2428082	2184032	1.1117275974766283	1.162248866031887
ngonorrhoeae.500genomes.bc31.fa	138045	7828809	3687459	2.123073180692878	3.7474123125290792
ngonorrhoeae.50genomes.bc31.fa	51141	4282441	2748211	1.558247984801915	2.049874014180106
ngonorrhoeae.520genomes.bc31.fa	140869	7942295	3716225	2.1371770774610463	3.8017346026372776
ngonorrhoeae.540genomes.bc31.fa	142863	8020288	3734398	2.147661703479087	3.8390674751714116
ngonorrhoeae.550genomes.bc31.fa	143974	8069627	3750407	2.1516497944106248	3.8626845510367023
ngonorrhoeae.55genomes.bc31.fa	51485	4295370	2750820	1.5614700910627624	2.0560627325137233
ngonorrhoeae.560genomes.bc31.fa	145093	8115658	3762868	2.156757371579033	3.8847181881018074
ngonorrhoeae.580genomes.bc31.fa	146705	8182389	3781239	2.1639267134922164	3.916660284406287
