name	simplitigs	cum len	kmers	superstr coef	genome frac
ngonorrhoeae.1000genomes.pa18.fa	57489	4278580	3301267	1.2960351184569399	2.0480258711306747
ngonorrhoeae.100genomes.pa18.fa	23877	2986647	2580738	1.1572764559208448	1.429616911202973
ngonorrhoeae.1050genomes.pa18.fa	59216	4345685	3339013	1.3014812685121129	2.0801469898388034
ngonorrhoeae.10genomes.pa18.fa	12153	2534745	2328144	1.088732695032689	1.2133051939473196
ngonorrhoeae.1100genomes.pa18.fa	60211	4382363	3358776	1.3047434003822207	2.0977036308041073
ngonorrhoeae.1102genomes.pa18.fa	60279	4384846	3360103	1.3049670845088865	2.098892167243304
ngonorrhoeae.120genomes.pa18.fa	24759	3021454	2600551	1.1618438741075026	1.4462779614805057
ngonorrhoeae.140genomes.pa18.fa	25064	3031470	2605382	1.1635338771527892	1.4510723154776834
ngonorrhoeae.150genomes.pa18.fa	25536	3047417	2613305	1.1661085009807441	1.45870565844823
ngonorrhoeae.15genomes.pa18.fa	14962	2641436	2387082	1.1065464817336859	1.2643749246095493
ngonorrhoeae.160genomes.pa18.fa	26680	3091785	2638225	1.1719110680521347	1.4799432680874856
ngonorrhoeae.180genomes.pa18.fa	27083	3108818	2648407	1.1738369687028964	1.4880964461659527
ngonorrhoeae.1genomes.pa18.fa	3659	2143603	2081400	1.0298767618406115	1.0260774372416381
ngonorrhoeae.200genomes.pa18.fa	28154	3149513	2670895	1.1791901043538686	1.5075759026271298
ngonorrhoeae.20genomes.pa18.fa	15664	2668258	2401970	1.1108544717352757	1.2772137987022312
ngonorrhoeae.220genomes.pa18.fa	28337	3155553	2673824	1.1801573092790483	1.510467066579102
ngonorrhoeae.240genomes.pa18.fa	28615	3165305	2678850	1.181583482867944	1.5151350518207631
ngonorrhoeae.250genomes.pa18.fa	30703	3242290	2720339	1.1918623885991393	1.551985425470197
ngonorrhoeae.25genomes.pa18.fa	17298	2739660	2445594	1.1202353931185294	1.3113917603742047
ngonorrhoeae.260genomes.pa18.fa	32397	3332863	2782114	1.1979532955134031	1.5953399606725116
ngonorrhoeae.280genomes.pa18.fa	33905	3390821	2814436	1.2047886392133746	1.6230826892037045
ngonorrhoeae.2genomes.pa18.fa	5314	2219221	2128883	1.0424261355629667	1.0622734696456506
ngonorrhoeae.300genomes.pa18.fa	35239	3437741	2838678	1.2110286592959087	1.645541863479621
ngonorrhoeae.30genomes.pa18.fa	17541	2748974	2450777	1.1216666925086318	1.315850088362395
ngonorrhoeae.320genomes.pa18.fa	37304	3508306	2874138	1.2206391095817728	1.6793191787562634
ngonorrhoeae.340genomes.pa18.fa	38166	3540579	2891757	1.2243622772733969	1.6947672804486473
ngonorrhoeae.350genomes.pa18.fa	39036	3570705	2907093	1.2282662162766458	1.7091876786634015
ngonorrhoeae.35genomes.pa18.fa	18307	2781837	2470618	1.1259603300366101	1.3315806050765775
ngonorrhoeae.360genomes.pa18.fa	39775	3598277	2922102	1.2313930404613913	1.7223855549024376
ngonorrhoeae.380genomes.pa18.fa	41306	3652113	2949911	1.2380346232179227	1.7481552076372682
ngonorrhoeae.3genomes.pa18.fa	5415	2222978	2130923	1.0431912677034547	1.0640718310641206
ngonorrhoeae.400genomes.pa18.fa	41761	3668992	2959055	1.2399130538222793	1.7562346706083507
ngonorrhoeae.40genomes.pa18.fa	18490	2788247	2473917	1.1270498727936962	1.3346488767540845
ngonorrhoeae.420genomes.pa18.fa	42048	3679983	2965167	1.2410639609548682	1.7614957273957887
ngonorrhoeae.440genomes.pa18.fa	43666	3748706	3006384	1.2469081802460815	1.7943913334009853
ngonorrhoeae.450genomes.pa18.fa	44096	3762851	3013219	1.2487740754457999	1.8011621138812248
ngonorrhoeae.45genomes.pa18.fa	18740	2797336	2478756	1.1285164071094853	1.3389995040983684
ngonorrhoeae.460genomes.pa18.fa	44721	3793379	3033122	1.2506446292108604	1.815774937246425
ngonorrhoeae.480genomes.pa18.fa	45735	3830850	3053355	1.2546293081878002	1.8337111631478074
ngonorrhoeae.4genomes.pa18.fa	5598	2229403	2134237	1.044581853893679	1.0671472827845547
ngonorrhoeae.500genomes.pa18.fa	46455	3855488	3065753	1.2575920568079144	1.845504622990306
ngonorrhoeae.50genomes.pa18.fa	20077	2846858	2505549	1.136213534187485	1.3627041764873697
ngonorrhoeae.520genomes.pa18.fa	47307	3886366	3082147	1.2609212228810667	1.8602849806904713
ngonorrhoeae.540genomes.pa18.fa	47868	3905493	3091737	1.2631965544477342	1.8694404927615593
ngonorrhoeae.550genomes.pa18.fa	48297	3923396	3102347	1.26464721741227	1.8780101133297975
ngonorrhoeae.55genomes.pa18.fa	20158	2849525	2506839	1.1366927338466988	1.3639807881198052
ngonorrhoeae.560genomes.pa18.fa	48665	3937043	3109738	1.266029960559594	1.884542516384858
ngonorrhoeae.580genomes.pa18.fa	49189	3957022	3120809	1.2679406029044875	1.8941058548942045
ngonorrhoeae.5genomes.pa18.fa	5660	2231478	2135258	1.0450541499338493	1.0681405220561346
ngonorrhoeae.600genomes.pa18.fa	50133	3994024	3141763	1.271261514173494	1.9118175847867336
