name	simplitigs	cum len	kmers	superstr coef	genome frac
spneumoniae.100genomes.pa18.fa	101635	7366079	5638284	1.3064359281279947	3.7110280737320873
spneumoniae.10genomes.pa18.fa	43465	4403661	3664756	1.2016190361585835	2.2185629014023767
spneumoniae.120genomes.pa18.fa	110363	7780627	5904456	1.3177513048158573	3.9198772139475926
spneumoniae.140genomes.pa18.fa	117333	8135417	6140756	1.3248196928953406	4.0986202942593035
spneumoniae.150genomes.pa18.fa	119974	8245902	6206344	1.3286210711880924	4.154282599364406
spneumoniae.15genomes.pa18.fa	50772	4766743	3903619	1.2211033508247182	2.401483488470041
spneumoniae.160genomes.pa18.fa	123767	8419343	6315304	1.3331615289230745	4.241662115676432
spneumoniae.180genomes.pa18.fa	128899	8670568	6479285	1.3381947623370543	4.3682291845095715
spneumoniae.1genomes.pa18.fa	1676	2045562	2017070	1.0141168923303754	1.0305534339992222
spneumoniae.200genomes.pa18.fa	130573	8733004	6513263	1.3407997199567652	4.399684419894847
spneumoniae.20genomes.pa18.fa	57591	5101895	4122848	1.2374635114174246	2.5703329511173267
spneumoniae.220genomes.pa18.fa	133864	8875195	6599507	1.3448235054528175	4.47132019692521
spneumoniae.240genomes.pa18.fa	135551	8942985	6638618	1.3471120192629962	4.505472775674134
spneumoniae.250genomes.pa18.fa	137759	9036319	6694416	1.349825892648414	4.552494412861804
spneumoniae.25genomes.pa18.fa	62992	5359121	4288257	1.2497151534626751	2.6999233216922027
spneumoniae.260genomes.pa18.fa	139266	9105974	6738452	1.351341677167321	4.587586577971058
spneumoniae.280genomes.pa18.fa	140876	9168255	6773363	1.3535716289356274	4.618963724409497
spneumoniae.2genomes.pa18.fa	8926	2488901	2337159	1.0649180891811314	1.2539074701397943
spneumoniae.300genomes.pa18.fa	142001	9209357	6795340	1.3552425575286184	4.639670897912053
spneumoniae.30genomes.pa18.fa	66244	5518584	4392436	1.2563786112224764	2.7802607263984975
spneumoniae.320genomes.pa18.fa	143496	9271551	6832119	1.3570501231240129	4.671004213780331
spneumoniae.340genomes.pa18.fa	145497	9354212	6880763	1.3594697112827325	4.712648797228699
spneumoniae.350genomes.pa18.fa	146349	9385520	6897587	1.3606927854947892	4.728421756890468
spneumoniae.35genomes.pa18.fa	68680	5622694	4455134	1.262065864883143	2.832711308690141
spneumoniae.360genomes.pa18.fa	147406	9426148	6920246	1.3621083476162683	4.7488901293556
spneumoniae.380genomes.pa18.fa	148505	9467945	6943360	1.3635936807118496	4.76994744361978
spneumoniae.3genomes.pa18.fa	16453	2902131	2622430	1.1066500104673231	1.4620926024073564
spneumoniae.400genomes.pa18.fa	149639	9511620	6967757	1.3650873291814574	4.791950893639831
