species	method	k	threads	hostname	cputime	mem
bombyx	bc	11	1	compute-a-16-105.o2.rc.hms.harvard.edu	653.97	3435104
bombyx	bc	12	1	compute-e-16-187.o2.rc.hms.harvard.edu	1008.29	3144980
bombyx	bc	13	1	compute-e-16-188.o2.rc.hms.harvard.edu	2096.09	2980404
bombyx	bc	14	1	compute-e-16-189.o2.rc.hms.harvard.edu	5120.0	5526744
bombyx	bc	15	1	compute-e-16-187.o2.rc.hms.harvard.edu	8578.0	9934684
bombyx	bc	16	1	compute-f-17-11.o2.rc.hms.harvard.edu	10538.0	13588440
bombyx	bc	17	1	compute-a-16-87.o2.rc.hms.harvard.edu	10646.0	15962668
bombyx	bc	18	1	compute-e-16-185.o2.rc.hms.harvard.edu	8683.0	17338600
bombyx	bc	19	1	compute-e-16-187.o2.rc.hms.harvard.edu	9151.0	18114148
bombyx	bc	20	1	compute-e-16-239.o2.rc.hms.harvard.edu	8950.0	18584412
bombyx	bc	21	1	compute-a-16-60.o2.rc.hms.harvard.edu	9068.0	18907852
bombyx	bc	22	1	compute-e-16-182.o2.rc.hms.harvard.edu	8519.0	19161304
bombyx	bc	23	1	compute-a-16-58.o2.rc.hms.harvard.edu	9217.0	19379932
bombyx	bc	24	1	compute-e-16-187.o2.rc.hms.harvard.edu	8666.0	19578248
bombyx	bc	25	1	compute-e-16-188.o2.rc.hms.harvard.edu	7996.0	19761804
bombyx	bc	26	1	compute-e-16-182.o2.rc.hms.harvard.edu	8244.0	19936072
bombyx	bc	27	1	compute-a-16-53.o2.rc.hms.harvard.edu	9515.0	20102172
bombyx	bc	28	1	compute-e-16-184.o2.rc.hms.harvard.edu	8542.0	20260388
bombyx	bc	29	1	compute-e-16-181.o2.rc.hms.harvard.edu	8166.0	20414348
bombyx	bc	30	1	compute-e-16-241.o2.rc.hms.harvard.edu	8835.0	20560796
bombyx	bc	31	1	compute-f-17-13.o2.rc.hms.harvard.edu	9297.0	20700976
bombyx	bc	32	1	compute-e-16-187.o2.rc.hms.harvard.edu	15653.0	26034892
bombyx	bc	11	4	compute-a-16-118.o2.rc.hms.harvard.edu	473.29	3042932
bombyx	bc	12	4	compute-a-16-136.o2.rc.hms.harvard.edu	742.27	2724616
