species	method	k	threads	cputime.sm	mem.sm	hostname	cputime.gnu	mem.gnu
bombyx	bc	11	1	654.4828	2903.89	compute-a-16-105.o2.rc.hms.harvard.edu	653.97	3435.104
bombyx	bc	12	1	1010.3656	2960.57	compute-e-16-187.o2.rc.hms.harvard.edu	1008.29	3144.98
bombyx	bc	13	1	2104.4425	2579.85	compute-e-16-188.o2.rc.hms.harvard.edu	2096.09	2980.404
bombyx	bc	14	1	5135.8212	4130.46	compute-e-16-189.o2.rc.hms.harvard.edu	5120	5526.744
bombyx	bc	15	1	8609.227	7116.73	compute-e-16-187.o2.rc.hms.harvard.edu	8578	9934.684
bombyx	bc	16	1	10596.1943	11163.26	compute-f-17-11.o2.rc.hms.harvard.edu	10538	13588.44
bombyx	bc	17	1	10667.3401	13723.20	compute-a-16-87.o2.rc.hms.harvard.edu	10646	15962.668
bombyx	bc	18	1	8689.5179	11604.05	compute-e-16-185.o2.rc.hms.harvard.edu	8683	17338.6
bombyx	bc	19	1	9156.4278	11932.13	compute-e-16-187.o2.rc.hms.harvard.edu	9151	18114.148
bombyx	bc	20	1	8953.7105	18036.14	compute-e-16-239.o2.rc.hms.harvard.edu	8950	18584.412
bombyx	bc	21	1	9071.0475	18392.68	compute-a-16-60.o2.rc.hms.harvard.edu	9068	18907.852
bombyx	bc	22	1	8521.5334	12049.77	compute-e-16-182.o2.rc.hms.harvard.edu	8519	19161.304
bombyx	bc	23	1	9218.8377	17831.01	compute-a-16-58.o2.rc.hms.harvard.edu	9217	19379.932
bombyx	bc	24	1	8670.0211	16804.68	compute-e-16-187.o2.rc.hms.harvard.edu	8666	19578.248
bombyx	bc	25	1	7998.2329	14182.09	compute-e-16-188.o2.rc.hms.harvard.edu	7996	19761.804
bombyx	bc	26	1	8245.7564	12324.91	compute-e-16-182.o2.rc.hms.harvard.edu	8244	19936.072
bombyx	bc	27	1	9517.0621	14568.32	compute-a-16-53.o2.rc.hms.harvard.edu	9515	20102.172
bombyx	bc	28	1	8543.9353	19025.68	compute-e-16-184.o2.rc.hms.harvard.edu	8542	20260.388
bombyx	bc	29	1	8167.6947	15507.19	compute-e-16-181.o2.rc.hms.harvard.edu	8166	20414.348
bombyx	bc	30	1	8836.7975	18348.20	compute-e-16-241.o2.rc.hms.harvard.edu	8835	20560.796
bombyx	bc	31	1	9301.4329	19122.18	compute-f-17-13.o2.rc.hms.harvard.edu	9297	20700.976
bombyx	bc	32	1	15655.2513	23357.88	compute-e-16-187.o2.rc.hms.harvard.edu	15653	26034.892
bombyx	bc	11	4	473.8701	2886.42	compute-a-16-118.o2.rc.hms.harvard.edu	473.29	3042.932
bombyx	bc	12	4	744.3452	2595.43	compute-a-16-136.o2.rc.hms.harvard.edu	742.27	2724.616
bombyx	bc	13	4	1776.0336	2441.97	compute-a-16-151.o2.rc.hms.harvard.edu	1768.72	2530.868
bombyx	bc	14	4	3989.3671	2333.47	compute-f-17-12.o2.rc.hms.harvard.edu	3933	3269.684
bombyx	bc	15	4	5121.2629	3468.29	compute-e-16-183.o2.rc.hms.harvard.edu	5083	3734.52
bombyx	bc	16	4	5141.8505	3351.27	compute-e-16-191.o2.rc.hms.harvard.edu	5107	4558.828
bombyx	bc	17	4	4519.7577	3400.15	compute-e-16-185.o2.rc.hms.harvard.edu	4507	4912.132
bombyx	bc	18	4	4506.8188	3443.09	compute-a-16-99.o2.rc.hms.harvard.edu	4498	4971.132
bombyx	bc	19	4	3371.9702	3475.38	compute-e-16-181.o2.rc.hms.harvard.edu	3366.38	4393.38
bombyx	bc	20	4	4608.3846	3712.43	compute-a-16-80.o2.rc.hms.harvard.edu	4596	4174.82
bombyx	bc	21	4	3340.9557	3434.80	compute-f-17-11.o2.rc.hms.harvard.edu	3333.58	4701.148
bombyx	bc	22	4	2957.8665	3409.69	compute-e-16-189.o2.rc.hms.harvard.edu	2956.17	5707.38
bombyx	bc	23	4	3015.1114	3406.15	compute-a-17-104.o2.rc.hms.harvard.edu	3013.51	4976.188
bombyx	bc	24	4	3262.8326	3434.34	compute-a-17-123.o2.rc.hms.harvard.edu	3261.14	4754.628
bombyx	bc	25	4	2896.2407	3391.41	compute-f-17-15.o2.rc.hms.harvard.edu	2891.27	5753.248
bombyx	bc	26	4	3126.5598	4351.45	compute-a-16-134.o2.rc.hms.harvard.edu	3125.03	5307.78
bombyx	bc	27	4	2636.2764	3381.59	compute-e-16-185.o2.rc.hms.harvard.edu	2634.9	5097.22
bombyx	bc	28	4	3153.843	3697.82	compute-a-17-63.o2.rc.hms.harvard.edu	3152.37	5237.648
bombyx	bc	29	4	2800.4318	3378.51	compute-e-16-183.o2.rc.hms.harvard.edu	2798.95	5377.692
bombyx	bc	30	4	3266.2548	3436.36	compute-a-17-76.o2.rc.hms.harvard.edu	3264.53	5060.356
bombyx	bc	31	4	2665.0567	3383.34	compute-e-16-181.o2.rc.hms.harvard.edu	2663.66	5216.424
bombyx	bc	32	4	5458.6105	4742.62	compute-a-17-63.o2.rc.hms.harvard.edu	5457	6846.484
bombyx	pa	11	1	137.0545	105.61	compute-a-16-123.o2.rc.hms.harvard.edu	136.99	106.208
bombyx	pa	12	1	171.5945	346.77	compute-e-16-189.o2.rc.hms.harvard.edu	171.52	356.532
bombyx	pa	13	1	211.6017	1275.59	compute-a-16-145.o2.rc.hms.harvard.edu	211.54	1304.328
bombyx	pa	14	1	238.231	3838.21	compute-e-16-181.o2.rc.hms.harvard.edu	238.18	4085.764
bombyx	pa	15	1	346.9786	7169.83	compute-e-16-242.o2.rc.hms.harvard.edu	346.93	8279.008
bombyx	pa	16	1	427.2812	8951.13	compute-e-16-186.o2.rc.hms.harvard.edu	427.23	9164.032
bombyx	pa	17	1	430.4092	10111.94	compute-e-16-192.o2.rc.hms.harvard.edu	430.35	10352.696
bombyx	pa	18	1	663.561	10782.90	compute-a-17-76.o2.rc.hms.harvard.edu	663.5	11039.756
bombyx	pa	19	1	523.8414	11161.62	compute-a-16-111.o2.rc.hms.harvard.edu	523.78	11427.568
bombyx	pa	20	1	563.5239	11391.05	compute-a-16-111.o2.rc.hms.harvard.edu	563.47	11662.508
bombyx	pa	21	1	606.8664	11549.05	compute-e-16-243.o2.rc.hms.harvard.edu	606.82	11824.3
bombyx	pa	22	1	503.0959	11672.88	compute-e-16-241.o2.rc.hms.harvard.edu	503.05	11951.108
bombyx	pa	23	1	693.9255	16402.62	compute-a-17-106.o2.rc.hms.harvard.edu	693.89	16794.348
bombyx	pa	24	1	542.2211	16402.81	compute-e-16-186.o2.rc.hms.harvard.edu	542.17	16794.548
bombyx	pa	25	1	568.3595	16402.28	compute-e-16-241.o2.rc.hms.harvard.edu	568.31	16794.016
bombyx	pa	26	1	586.6534	16402.27	compute-a-17-127.o2.rc.hms.harvard.edu	586.6	16793.996
bombyx	pa	27	1	680.8927	16402.29	compute-a-16-137.o2.rc.hms.harvard.edu	680.82	16794.02
bombyx	pa	28	1	769.5043	16402.28	compute-a-16-97.o2.rc.hms.harvard.edu	769.44	16794.004
bombyx	pa	29	1	597.0726	16402.29	compute-e-16-188.o2.rc.hms.harvard.edu	597.03	16794.016
bombyx	pa	30	1	844.0598	16402.29	compute-a-16-162.o2.rc.hms.harvard.edu	844	16794.012
bombyx	pa	31	1	666.5505	16402.28	compute-a-16-151.o2.rc.hms.harvard.edu	666.49	16794.02
bombyx	pa	32	1	676.378	16402.69	compute-a-17-106.o2.rc.hms.harvard.edu	676.32	16794.416
celegan	bc	11	1	225.686	703.49	compute-e-16-190.o2.rc.hms.harvard.edu	225.05	1087.528
celegan	bc	12	1	611.3309	1063.00	compute-e-16-240.o2.rc.hms.harvard.edu	609.13	1085.156
celegan	bc	13	1	1544.636	1184.75	compute-f-17-15.o2.rc.hms.harvard.edu	1530.48	1434.284
