dataset	species	k	genomes	kmers	bc.seq.count	bc.cum.len	pa.seq.count	pa.cum.len	impr.seq.count	impr.cum.len
gc18	ngonorrhoeae	18	1	2081400	17754	2383218	3659	2143603	4.85214539491664	1.11178142594501
gc18	ngonorrhoeae	18	2	2128883	23000	2519883	5314	2219221	4.32818968761761	1.13548087369397
gc18	ngonorrhoeae	18	3	2130923	23327	2527482	5415	2222978	4.3078485687904	1.13698021302955
gc18	ngonorrhoeae	18	4	2134237	23892	2540401	5598	2229403	4.26795284030011	1.13949833206468
gc18	ngonorrhoeae	18	5	2135258	24085	2544703	5660	2231478	4.25530035335689	1.1403666090367
gc18	ngonorrhoeae	18	6	2149243	26146	2593725	6309	2256496	4.14423838960216	1.14944808233651
gc18	ngonorrhoeae	18	7	2149404	26187	2594583	6319	2256827	4.14416838107295	1.14965967705987
gc18	ngonorrhoeae	18	8	2266279	36810	2892049	9654	2430397	3.81292728402735	1.18994921405844
gc18	ngonorrhoeae	18	9	2308958	42316	3028330	11377	2502367	3.71943394567988	1.2101861957099
gc18	ngonorrhoeae	18	10	2328144	44840	3090424	12153	2534745	3.68962396116185	1.2192248135414
gc18	ngonorrhoeae	18	15	2387082	53711	3300169	14962	2641436	3.58982756316001	1.24938442574418
gc18	ngonorrhoeae	18	20	2401970	55966	3353392	15664	2668258	3.57290602655771	1.25677202129629
gc18	ngonorrhoeae	18	25	2445594	61108	3484430	17298	2739660	3.53266273557637	1.2718476015272
gc18	ngonorrhoeae	18	30	2450777	61875	3502652	17541	2748974	3.52744997434582	1.27416701649415
gc18	ngonorrhoeae	18	35	2470618	64283	3563429	18307	2781837	3.51138908614191	1.28096254381547
gc18	ngonorrhoeae	18	40	2473917	64864	3576605	18490	2788247	3.50805840995133	1.28274324333533
gc18	ngonorrhoeae	18	45	2478756	65657	3594925	18740	2797336	3.50357524012807	1.28512448987179
gc18	ngonorrhoeae	18	50	2505549	69872	3693373	20077	2846858	3.48020122528266	1.29735062303775
gc18	ngonorrhoeae	18	55	2506839	70125	3698964	20158	2849525	3.47876773489433	1.29809845500566
gc18	ngonorrhoeae	18	60	2510627	70811	3714414	20376	2857019	3.47521594032195	1.30010125938959
gc18	ngonorrhoeae	18	65	2516874	71888	3738970	20724	2869182	3.46882841150357	1.30314842348795
gc18	ngonorrhoeae	18	70	2549914	76832	3856058	22287	2928793	3.44739085565576	1.31660311944204
gc18	ngonorrhoeae	18	75	2557403	78184	3886531	22728	2943779	3.43998592045055	1.32025230154845
gc18	ngonorrhoeae	18	80	2563774	79342	3912588	23095	2956389	3.43546222126001	1.32343477126995
gc18	ngonorrhoeae	18	85	2571295	80278	3936021	23377	2968704	3.43405911793643	1.32583814351313
