experiment	method	k	compressed	size	kmers	bits_per_kmer
bombyx	assembly	18	FALSE	432489397	276103750	12.531213994739296
bombyx	assembly	18	TRUE	85891468	276103750	2.488672261785651
bombyx	assembly	31	FALSE	432489397	329902514	10.487689633065362
bombyx	assembly	31	TRUE	85891468	329902514	2.0828327000866684
bombyx	boss	18	FALSE	344780800	276103750	9.989891118827614
bombyx	boss	18	TRUE	136008440	276103750	3.940792256534002
bombyx	boss	31	FALSE	395304960	329902514	9.585982360837663
bombyx	boss	31	TRUE	126474864	329902514	3.0669633272330867
bombyx	simplitigs	18	FALSE	466968486	276103750	13.530232342009118
bombyx	simplitigs	18	TRUE	117502456	276103750	3.404588485306701
bombyx	simplitigs	31	FALSE	392600407	329902514	9.520398065229658
bombyx	simplitigs	31	TRUE	92024752	329902514	2.231562309343299
bombyx	unitigs	18	FALSE	1531133768	276103750	44.36401223815323
bombyx	unitigs	18	TRUE	322354644	276103750	9.340101871126343
bombyx	unitigs	31	FALSE	548689564	329902514	13.305495792614662
bombyx	unitigs	31	TRUE	118976692	329902514	2.8851357464950995
celegan	assembly	18	FALSE	100286436	86266695	9.3001301139449
celegan	assembly	18	TRUE	23279284	86266695	2.1588200637569344
celegan	assembly	31	FALSE	100286436	94006897	8.534389641645124
celegan	assembly	31	TRUE	23279284	94006897	1.9810703038097301
celegan	boss	18	FALSE	103997440	86266695	9.644272566602906
celegan	boss	18	TRUE	37932516	86266695	3.517697391791815
celegan	boss	31	FALSE	109322240	94006897	9.303337817862449
celegan	boss	31	TRUE	32478728	94006897	2.7639442667701286
celegan	simplitigs	18	FALSE	125894023	86266695	11.674866922860554
celegan	simplitigs	18	TRUE	31556036	86266695	2.9263702289742293
celegan	simplitigs	31	FALSE	98806192	94006897	8.408420671517325
celegan	simplitigs	31	TRUE	24102116	94006897	2.0510934213688596
celegan	unitigs	18	FALSE	341599398	86266695	31.678449997417893
celegan	unitigs	18	TRUE	74688752	86266695	6.926311666396864
celegan	unitigs	31	FALSE	110007194	94006897	9.361627498458969
celegan	unitigs	31	TRUE	26270024	94006897	2.2355826934698206
ecoli	assembly	18	FALSE	4641657	4536771	8.184952689919768
ecoli	assembly	18	TRUE	1185940	4536771	2.0912494811838642
ecoli	assembly	31	FALSE	4641657	4554269	8.153505205775065
ecoli	assembly	31	TRUE	1185940	4554269	2.0832146717727915
ecoli	boss	18	FALSE	5304320	4536771	9.353471885620852
ecoli	boss	18	TRUE	1592476	4536771	2.808122340757336
ecoli	boss	31	FALSE	5314560	4554269	9.335522341785257
ecoli	boss	31	TRUE	1567448	4554269	2.7533692015118123
ecoli	simplitigs	18	FALSE	4611289	4536771	8.131402709107425
ecoli	simplitigs	18	TRUE	1204920	4536771	2.124718219191579
ecoli	simplitigs	31	FALSE	4580579	4554269	8.04621597889804
ecoli	simplitigs	31	TRUE	1186872	4554269	2.0848518170534063
ecoli	unitigs	18	FALSE	4921436	4536771	8.67830622264161
ecoli	unitigs	18	TRUE	1301252	4536771	2.29458705321472
ecoli	unitigs	31	FALSE	4633412	4554269	8.139022091141301
ecoli	unitigs	31	TRUE	1198936	4554269	2.106043362831664
hg38	assembly	18	FALSE	3049318006	1834026029	13.301089331486255
hg38	assembly	18	TRUE	655217780	1834026029	2.8580522615908848
hg38	assembly	31	FALSE	3049318006	2503985560	9.742286232673003
hg38	assembly	31	TRUE	655217780	2503985560	2.0933596118661324
hg38	boss	18	FALSE	2466826240	1834026029	10.760267088881104
hg38	boss	18	TRUE	1100271184	1834026029	4.799369983205402
hg38	boss	31	FALSE	2959083520	2503985560	9.453995477513857
hg38	boss	31	TRUE	896581580	2503985560	2.8644944102632923
hg38	simplitigs	18	FALSE	5037016397	1834026029	21.97140636982748
hg38	simplitigs	18	TRUE	1183860260	1834026029	5.163984551061135
hg38	simplitigs	31	FALSE	2921711299	2503985560	9.33459472186413
hg38	simplitigs	31	TRUE	699769804	2503985560	2.2356991675303433
hg38	unitigs	18	FALSE	26340989979	1834026029	114.89908894417333
hg38	unitigs	18	TRUE	4480114952	1834026029	19.542208806895836
hg38	unitigs	31	FALSE	4101040000	2503985560	13.102439776050465
hg38	unitigs	31	TRUE	897752528	2503985560	2.8682354797605143
pangenome-ngonorrhoeae	assembly	18	FALSE	2361447411	3360103	5622.321484787817
pangenome-ngonorrhoeae	assembly	18	TRUE	7741720	3360103	18.43210163497964
pangenome-ngonorrhoeae	assembly	31	FALSE	2361447411	4179243	4520.3352109460975
pangenome-ngonorrhoeae	assembly	31	TRUE	7741720	4179243	14.819372790718319
pangenome-ngonorrhoeae	boss	18	FALSE	8468480	3360103	20.162429544570507
