iter	file	loading	matching	mem
1	bc19.log	683.516	899.823	104.824504
2	bc19.log	1143.517	813.595	104.82456
3	bc19.log	1154.394	725.941	104.824536
1	bc19_solid10.log	231.513	162.119	45.57312
2	bc19_solid10.log	221.845	162.219	45.572984
3	bc19_solid10.log	221.759	159.565	45.573008
1	bc23.log	369.675	255.236	63.730208
2	bc23.log	231.098	209.857	63.730288
3	bc23.log	207.715	209.711	63.730172
1	bc23_solid10.log	102.296	147.468	23.045368
2	bc23_solid10.log	98.176	159.890	23.045428
3	bc23_solid10.log	99.402	153.030	23.045512
1	bc27.log	189.151	192.435	57.9675
2	bc27.log	187.038	190.026	57.967536
3	bc27.log	168.395	188.932	57.967464
1	bc27_solid10.log	84.506	172.940	19.844468
2	bc27_solid10.log	78.155	175.916	19.844628
3	bc27_solid10.log	77.805	170.232	19.844476
1	bc31.log	169.272	183.490	55.253528
2	bc31.log	154.615	181.525	55.253372
3	bc31.log	162.642	192.675	55.253516
1	bc31_solid10.log	74.326	203.930	18.641484
2	bc31_solid10.log	68.615	197.361	18.641552
3	bc31_solid10.log	69.249	195.249	18.641316
1	pa19.log	136.799	327.255	46.04902
2	pa19.log	117.841	322.771	46.048916
3	pa19.log	122.618	318.464	46.048932
1	pa19_solid10.log	58.089	118.726	13.943852
2	pa19_solid10.log	54.436	125.838	13.943776
3	pa19_solid10.log	53.589	128.957	13.94374
1	pa23.log	100.482	186.966	40.001468
2	pa23.log	81.005	184.719	40.001484
3	pa23.log	83.273	185.952	40.00148
1	pa23_solid10.log	38.275	134.040	10.893208
2	pa23_solid10.log	33.075	135.619	10.893192
3	pa23_solid10.log	32.533	118.576	10.89324
1	pa27.log	88.808	168.933	38.087756
2	pa27.log	72.033	186.310	38.087796
3	pa27.log	71.790	172.784	38.087776
1	pa27_solid10.log	29.083	152.342	9.803732
2	pa27_solid10.log	26.016	152.512	9.803764
3	pa27_solid10.log	26.935	168.107	9.80376
1	pa31.log	83.232	162.994	38.041868
2	pa31.log	67.728	162.729	38.04208
3	pa31.log	69.369	167.706	38.042064
1	pa31_solid10.log	29.928	185.927	9.916868
2	pa31_solid10.log	26.391	186.683	9.916976
3	pa31_solid10.log	27.498	187.948	9.91676
