rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/525/GCA_000010525.1_ASM1052v1	azorhizobium_caulinodans
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/365/GCA_000007365.1_ASM736v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/725/GCA_000007725.1_ASM772v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/605/GCA_000009605.1_ASM960v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/065/GCA_000021065.1_ASM2106v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/085/GCA_000021085.1_ASM2108v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/965/GCA_000090965.1_ASM9096v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/285/GCA_000183285.1_ASM18328v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/635/GCA_000217635.1_ASM21763v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/445/GCA_000225445.1_ASM22544v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/465/GCA_000225465.1_ASM22546v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/525/GCA_000521525.1_ASM52152v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/545/GCA_000521545.1_ASM52154v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/565/GCA_000521565.1_ASM52156v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/585/GCA_000521585.1_ASM52158v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/225/GCA_001280225.1_ASM128022v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/648/115/GCA_001648115.1_ASM164811v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/700/895/GCA_001700895.1_ASM170089v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/055/GCA_003096055.1_ASM309605v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/099/975/GCA_003099975.1_ASM309997v1	buchnera_aphidicola
rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/671/935/GCA_003671935.1_ASM367193v1	buchnera_aphidicola
