# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000010525.1	PRJDA19267	SAMD00060925	NA	representative genome	438753	7	Azorhizobium caulinodans ORS 571	strain=ORS 571	NA	latest	Complete Genome	Major	Full	2007-10-16	ASM1052v1	University of Tokyo	GCF_000010525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/525/GCA_000010525.1_ASM1052v1	NA	assembly from type material
GCA_000007365.1	PRJNA312	SAMN02604269	NA	na	198804	9	Buchnera aphidicola str. Sg (Schizaphis graminum)	strain=Sg	NA	latest	Complete Genome	Major	Full	2002-07-02	ASM736v1	Uppsala Univ.	GCF_000007365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/365/GCA_000007365.1_ASM736v1	NA	NA
GCA_000007725.1	PRJNA256	SAMN02604289	NA	na	224915	9	Buchnera aphidicola str. Bp (Baizongia pistaciae)	strain=Bp (Baizongia pistaciae)	NA	latest	Complete Genome	Major	Full	2003-01-29	ASM772v1	Valencia Univ.	GCF_000007725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/725/GCA_000007725.1_ASM772v1	NA	NA
GCA_000009605.1	PRJNA245	SAMD00061095	NA	na	107806	9	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	NA	Tokyo1998	latest	Complete Genome	Major	Full	2004-05-11	ASM960v1	Rikken GSC	GCF_000009605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/605/GCA_000009605.1_ASM960v1	NA	NA
GCA_000021065.1	PRJNA31223	SAMN02604133	NA	na	561501	9	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	strain=Tuc7	NA	latest	Complete Genome	Major	Full	2009-01-06	ASM2106v1	University of Arizona	GCF_000021065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/065/GCA_000021065.1_ASM2106v1	NA	NA
GCA_000021085.1	PRJNA31225	SAMN02604134	NA	na	563178	9	Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	strain=5A	NA	latest	Complete Genome	Major	Full	2009-01-06	ASM2108v1	University of Arizona	GCF_000021085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/085/GCA_000021085.1_ASM2108v1	NA	NA
GCA_000090965.1	PRJNA16372	SAMN02604290	NA	na	372461	9	Buchnera aphidicola BCc	strain=BCc	NA	latest	Complete Genome	Major	Full	2006-10-18	ASM9096v1	Valencia Univ.	GCF_000090965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/965/GCA_000090965.1_ASM9096v1	NA	NA
GCA_000183285.1	PRJNA43509	SAMN02604267	NA	na	713601	9	Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	strain=JF99	NA	latest	Complete Genome	Major	Full	2010-11-04	ASM18328v1	University of York	GCF_000183285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/285/GCA_000183285.1_ASM18328v1	NA	NA
GCA_000217635.1	PRJNA41379	SAMN02603413	NA	na	261317	9	Buchnera aphidicola (Cinara tujafilina)	NA	BCtu	latest	Complete Genome	Major	Full	2011-06-09	ASM21763v1	Instituto Cavanilles Biodiversidad y Biologia evolutiva.Universidad Valencia	GCF_000217635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/635/GCA_000217635.1_ASM21763v1	NA	NA
GCA_000225445.1	PRJNA65481	SAMN02604329	NA	na	1005090	9	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	strain=Ak	NA	latest	Complete Genome	Major	Full	2011-09-07	ASM22544v1	Yale University	GCF_000225445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/445/GCA_000225445.1_ASM22544v1	NA	NA
GCA_000225465.1	PRJNA65479	SAMN02604330	NA	na	1005057	9	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	strain=Ua	NA	latest	Complete Genome	Major	Full	2011-09-07	ASM22546v1	Yale University	GCF_000225465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/465/GCA_000225465.1_ASM22546v1	NA	NA
GCA_000521525.1	PRJNA66101	SAMN02641629	NA	na	1009856	9	Buchnera aphidicola str. USDA (Myzus persicae)	strain=USDA	NA	latest	Complete Genome	Major	Full	2014-01-22	ASM52152v1	University of Miami	GCF_000521525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/525/GCA_000521525.1_ASM52152v1	NA	NA
GCA_000521545.1	PRJNA66103	SAMN02641630	NA	na	1009857	9	Buchnera aphidicola str. W106 (Myzus persicae)	strain=W106	NA	latest	Complete Genome	Major	Full	2014-01-22	ASM52154v1	University of Miami	GCF_000521545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/545/GCA_000521545.1_ASM52154v1	NA	NA
GCA_000521565.1	PRJNA66105	SAMN02641631	NA	na	1009858	9	Buchnera aphidicola str. G002 (Myzus persicae)	strain=G002	NA	latest	Complete Genome	Major	Full	2014-01-22	ASM52156v1	University of Miami	GCF_000521565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/565/GCA_000521565.1_ASM52156v1	NA	NA
GCA_000521585.1	PRJNA66107	SAMN02641632	NA	na	1009859	9	Buchnera aphidicola str. F009 (Myzus persicae)	strain=F009	NA	latest	Complete Genome	Major	Full	2014-01-22	ASM52158v1	University of Miami	GCF_000521585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/585/GCA_000521585.1_ASM52158v1	NA	NA
GCA_001280225.1	PRJNA256101	SAMN02937542	NA	na	1265350	9	Buchnera aphidicola (Aphis glycines)	strain=BAg	NA	latest	Complete Genome	Major	Full	2015-09-08	ASM128022v1	The Ohio State University	GCF_001280225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/225/GCA_001280225.1_ASM128022v1	NA	NA
GCA_001648115.1	PRJNA281158	SAMN03483427	NA	na	118110	9	Buchnera aphidicola (Schlechtendalia chinensis)	strain=SC	NA	latest	Complete Genome	Major	Full	2016-05-18	ASM164811v1	School of Life Sciences, Fudan University, Shanghai, China	GCF_001648115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/648/115/GCA_001648115.1_ASM164811v1	NA	NA
GCA_001700895.1	PRJNA297165	SAMN04288104	NA	na	118101	9	Buchnera aphidicola (Diuraphis noxia)	NA	SAM	latest	Complete Genome	Major	Full	2016-08-09	ASM170089v1	University of Stellenbosch	GCF_001700895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/700/895/GCA_001700895.1_ASM170089v1	NA	NA
GCA_003096055.1	PRJNA413550	SAMN09000090	NA	na	2173854	9	Buchnera aphidicola (Melanaphis sacchari)	strain=LSU	NA	latest	Complete Genome	Major	Full	2018-05-07	ASM309605v1	USDA-ARS Center for Grain and Animal Health Research	GCF_003096055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/055/GCA_003096055.1_ASM309605v1	NA	NA
GCA_003099975.1	PRJNA454279	SAMN09004684	NA	na	98794	9	Buchnera aphidicola (Schizaphis graminum)	NA	LNK	latest	Complete Genome	Major	Full	2018-05-09	ASM309997v1	USDA-ARS Center for Grain and Animal Health Research	GCF_003099975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/099/975/GCA_003099975.1_ASM309997v1	NA	NA
GCA_003671935.1	PRJNA494697	SAMN10176941	NA	na	118109	9	Buchnera aphidicola (Rhopalosiphum maidis)	strain=BTI	NA	latest	Complete Genome	Major	Full	2018-10-22	ASM367193v1	Cornell University	GCF_003671935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/671/935/GCA_003671935.1_ASM367193v1	NA	NA
GCA_005080705.1	PRJNA489301	SAMN09980522	NA	na	1241884	9	Buchnera aphidicola (Therioaphis trifolii)	strain=Tma	NA	latest	Complete Genome	Major	Full	2019-05-02	ASM508070v1	University of Hawaii	GCF_005080705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/080/705/GCA_005080705.1_ASM508070v1	NA	NA
GCA_005080865.1	PRJNA489301	SAMN09980516	NA	na	1241869	9	Buchnera aphidicola (Muscaphis stroyani)	strain=Mst	NA	latest	Complete Genome	Major	Full	2019-05-02	ASM508086v1	University of Hawaii	GCF_005080865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/080/865/GCA_005080865.1_ASM508086v1	NA	NA
GCA_005080965.1	PRJNA489301	SAMN09980513	NA	na	2315801	9	Buchnera aphidicola (Macrosiphum gaurae)	strain=Mga	NA	latest	Complete Genome	Major	Full	2019-05-02	ASM508096v1	University of Hawaii	GCF_005080965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/080/965/GCA_005080965.1_ASM508096v1	NA	NA
GCA_005081445.1	PRJNA489301	SAMN09980510	NA	na	1241859	9	Buchnera aphidicola (Hyadaphis tataricae)	strain=Hta	NA	latest	Complete Genome	Major	Full	2019-05-02	ASM508144v1	University of Hawaii	GCF_005081445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/081/445/GCA_005081445.1_ASM508144v1	NA	NA
GCA_005082145.1	PRJNA489301	SAMN09980501	NA	na	466616	9	Buchnera aphidicola (Aphis craccivora)	strain=Acr	NA	latest	Complete Genome	Major	Full	2019-05-02	ASM508214v1	University of Hawaii	GCF_005082145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/082/145/GCA_005082145.1_ASM508214v1	NA	NA
GCA_005082585.1	PRJNA489301	SAMN09980518	NA	na	571428	9	Buchnera aphidicola (Sitobion avenae)	strain=Sav	NA	latest	Complete Genome	Major	Full	2019-05-02	ASM508258v1	University of Hawaii	GCF_005082585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/082/585/GCA_005082585.1_ASM508258v1	NA	NA
GCA_005083845.1	PRJNA489301	SAMN09980503	NA	na	2315802	9	Buchnera aphidicola (Aphis helianthi)	strain=Ahe	NA	latest	Complete Genome	Major	Full	2019-05-02	ASM508384v1	University of Hawaii	GCF_005083845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/083/845/GCA_005083845.1_ASM508384v1	NA	NA
GCA_005237295.1	PRJNA489301	SAMN09980512	NA	representative genome	1507522	9	Buchnera aphidicola (Macrosiphum euphorbiae)	strain=Meu	NA	latest	Complete Genome	Major	Full	2019-05-08	ASM523729v1	University of Hawaii	GCF_005237295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/237/295/GCA_005237295.1_ASM523729v1	NA	NA
GCA_006741185.1	PRJDB7783	SAMD00154410	NA	na	2495405	9	Buchnera aphidicola (Nipponaphis monzeni)	strain=Nmo	Tokyo2014	latest	Complete Genome	Major	Full	2019-03-18	BucNmo_1.0	National Institute of Advanced Industrial Science and Technology (AIST)	GCF_006741185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/741/185/GCA_006741185.1_BucNmo_1.0	NA	NA
GCA_011035165.1	PRJNA600677	SAMN13829547	NA	na	255719	9	Buchnera aphidicola (Chaitophorus populeti)	strain=CpopBac	NA	latest	Complete Genome	Major	Full	2020-02-27	ASM1103516v1	InfoBoss Research Center	GCF_011035165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/035/165/GCA_011035165.1_ASM1103516v1	NA	NA
GCA_900016785.1	PRJEB10875	SAMEA3598223	NA	na	98804	9	Buchnera aphidicola (Tuberolachnus salignus)	strain=BTs	Pazieg	latest	Complete Genome	Major	Full	2016-05-05	BTsPazieg1.0	ICBIBE-UV	GCF_900016785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/016/785/GCA_900016785.1_BTsPazieg1.0	NA	NA
GCA_900128595.1	PRJEB15506	SAMEA4556319	NA	na	655384	9	Buchnera aphidicola (Cinara pseudotaxifoliae)	strain=BCipseudotaxifoliae	3056	latest	Complete Genome	Major	Full	2016-11-25	BCipseudotaxifoliae_v1.0	Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062)	GCF_900128595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/595/GCA_900128595.1_BCipseudotaxifoliae_v1.0	NA	NA
GCA_900128725.1	PRJEB15400	SAMEA4556317	NA	na	9	9	Buchnera aphidicola	strain=BCifornacula	2912	latest	Complete Genome	Major	Full	2016-11-25	BCifornacula_v1.0	Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062)	GCF_900128725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/725/GCA_900128725.1_BCifornacula_v1.0	NA	NA
GCA_900128735.1	PRJEB15504	SAMEA4556315	NA	na	1878935	9	Buchnera aphidicola (Cinara confinis)	strain=BCiconfinis	2801	latest	Complete Genome	Major	Full	2016-11-25	BCiconfinis_v1.0	Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062)	GCF_900128735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/128/735/GCA_900128735.1_BCiconfinis_v1.0	NA	NA
GCA_000218545.1	PRJNA33853	SAMN02232005	NA	representative genome	593907	11	Cellulomonas gilvus ATCC 13127	strain=ATCC 13127	NA	latest	Complete Genome	Major	Full	2011-06-15	ASM21854v1	US DOE Joint Genome Institute	GCF_000218545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/545/GCA_000218545.1_ASM21854v1	NA	assembly from type material
GCA_000020965.1	PRJNA30731	SAMN02603928	NA	representative genome	309799	14	Dictyoglomus thermophilum H-6-12	strain=H-6-12; ATCC 35947	NA	latest	Complete Genome	Major	Full	2008-09-26	ASM2096v1	The J. Craig Venter Institute	GCF_000020965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/965/GCA_000020965.1_ASM2096v1	NA	assembly from type material
GCA_000012885.1	PRJNA13337	SAMN02598295	NA	representative genome	338963	19	Pelobacter carbinolicus DSM 2380	strain=DSM 2380	NA	latest	Complete Genome	Major	Full	2006-03-30	ASM1288v1	DOE Joint Genome Institute	GCF_000012885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/885/GCA_000012885.1_ASM1288v1	NA	assembly from type material
GCA_000016585.1	PRJNA13393	SAMN00623063	NA	representative genome	319224	24	Shewanella putrefaciens CN-32	strain=CN-32	NA	latest	Complete Genome	Major	Full	2007-04-20	ASM1658v1	US DOE Joint Genome Institute	GCF_000016585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1	NA	NA
GCA_000169215.2	PRJNA13392	SAMN00632276	NA	na	399804	24	Shewanella putrefaciens 200	strain=200	NA	latest	Complete Genome	Major	Full	2011-01-18	ASM16921v2	US DOE Joint Genome Institute (JGI-PGF)	GCF_000169215.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/215/GCA_000169215.2_ASM16921v2	NA	NA
GCA_003044255.1	PRJNA422021	SAMN08180388	NA	na	24	24	Shewanella putrefaciens	strain=WS13	NA	latest	Complete Genome	Major	Full	2018-04-08	ASM304425v1	Shanghai Engineering Research Center of Aquatic Product Processing and Preservation	GCF_003044255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/044/255/GCA_003044255.1_ASM304425v1	NA	NA
GCA_009730575.1	PRJNA231221	SAMN11056396	NA	na	24	24	Shewanella putrefaciens	strain=FDAARGOS_681	NA	latest	Complete Genome	Major	Full	2019-12-05	ASM973057v1	US Food and Drug Administration	GCF_009730575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/575/GCA_009730575.1_ASM973057v1	NA	NA
GCA_900636665.1	PRJEB6403	SAMEA3724093	NA	na	24	24	Shewanella putrefaciens	strain=NCTC12093	NA	latest	Complete Genome	Major	Full	2018-12-20	43781_G01	SC	GCF_900636665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/665/GCA_900636665.1_43781_G01	NA	NA
