accession	version	species	fna	seqs	size
GCA_010537155.1_ASM1053715	v1	absiella_argi	absiella_argi/GCA_010537155.1_ASM1053715v1/GCA_010537155.1_ASM1053715v1_genomic.fna	       2	2996298
GCA_010537335.1_ASM1053733	v1	absiella_sp	absiella_sp/GCA_010537335.1_ASM1053733v1/GCA_010537335.1_ASM1053733v1_genomic.fna	       1	2488096
GCA_000018105.1_ASM1810	v1	acaryochloris_marina	acaryochloris_marina/GCA_000018105.1_ASM1810v1/GCA_000018105.1_ASM1810v1_genomic.fna	      10	8361599
GCA_001766235.1_ASM176623	v1	acetobacter_ascendens	acetobacter_ascendens/GCA_001766235.1_ASM176623v1/GCA_001766235.1_ASM176623v1_genomic.fna	       4	2999217
GCA_001766255.1_ASM176625	v1	acetobacter_ascendens	acetobacter_ascendens/GCA_001766255.1_ASM176625v1/GCA_001766255.1_ASM176625v1_genomic.fna	       4	3216032
GCA_002173775.1_ASM217377	v1	acetobacter_ascendens	acetobacter_ascendens/GCA_002173775.1_ASM217377v1/GCA_002173775.1_ASM217377v1_genomic.fna	       4	3285832
GCA_001628715.1_ASM162871	v1	acetobacter_oryzifermentans	acetobacter_oryzifermentans/GCA_001628715.1_ASM162871v1/GCA_001628715.1_ASM162871v1_genomic.fna	       4	3106397
GCA_002220195.1_ASM222019	v1	acetobacter_oryzifermentans	acetobacter_oryzifermentans/GCA_002220195.1_ASM222019v1/GCA_002220195.1_ASM222019v1_genomic.fna	       1	3127455
GCA_004014775.2_ASM401477	v2	acetobacter_oryzoeni	acetobacter_oryzoeni/GCA_004014775.2_ASM401477v2/GCA_004014775.2_ASM401477v2_genomic.fna	       4	3153180
GCA_002006565.1_ASM200656	v1	acetobacter_persici	acetobacter_persici/GCA_002006565.1_ASM200656v1/GCA_002006565.1_ASM200656v1_genomic.fna	       2	3756676
GCA_002456135.1_ASM245613	v1	acetobacter_pomorum	acetobacter_pomorum/GCA_002456135.1_ASM245613v1/GCA_002456135.1_ASM245613v1_genomic.fna	       4	3007920
GCA_003391275.1_ASM339127	v1	acetobacter_pomorum	acetobacter_pomorum/GCA_003391275.1_ASM339127v1/GCA_003391275.1_ASM339127v1_genomic.fna	       3	3153219
GCA_003323795.1_ASM332379	v1	acetobacter_sp	acetobacter_sp/GCA_003323795.1_ASM332379v1/GCA_003323795.1_ASM332379v1_genomic.fna	       3	2941821
GCA_008365315.1_ASM836531	v1	acetobacter_sp	acetobacter_sp/GCA_008365315.1_ASM836531v1/GCA_008365315.1_ASM836531v1_genomic.fna	       3	3082251
GCA_002549835.1_ASM254983	v1	acetobacter_tropicalis	acetobacter_tropicalis/GCA_002549835.1_ASM254983v1/GCA_002549835.1_ASM254983v1_genomic.fna	       2	4139662
GCA_004843165.1_ASM484316	v1	acetobacteraceae_bacterium	acetobacteraceae_bacterium/GCA_004843165.1_ASM484316v1/GCA_004843165.1_ASM484316v1_genomic.fna	       1	1923586
